,Mean,data,for,UKR,Province=,6:,"Donets'k,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
279,1987,13.0,"0.015,264.93,","0.07,","99.39,",49.73,,,,,,,,,,,,,,,,
280,1987,14.0,"0.021,266.15,","0.07,","99.70,",49.89,,,,,,,,,,,,,,,,
281,1987,15.0,"0.031,268.46,","0.06,","99.76,",49.91,,,,,,,,,,,,,,,,
282,1987,16.0,"0.044,271.90,","0.06,","99.73,",49.89,,,,,,,,,,,,,,,,
283,1987,17.0,"0.065,277.86,","0.09,","99.44,",49.76,,,,,,,,,,,,,,,,
284,1987,18.0,"0.095,283.94,","0.14,","98.61,",49.37,,,,,,,,,,,,,,,,
285,1987,19.0,"0.131,288.31,","0.17,","97.35,",48.76,,,,,,,,,,,,,,,,
286,1987,20.0,"0.172,291.21,","0.25,","92.89,",46.57,,,,,,,,,,,,,,,,
287,1987,21.0,"0.216,292.91,","0.56,","90.40,",45.48,,,,,,,,,,,,,,,,
288,1987,22.0,"0.260,294.52,","2.14,","84.53,",43.34,,,,,,,,,,,,,,,,
289,1987,23.0,"0.299,295.77,","8.35,","81.28,",44.81,,,,,,,,,,,,,,,,
290,1987,24.0,"0.333,296.65,","23.99,","82.06,",53.02,,,,,,,,,,,,,,,,
291,1987,25.0,"0.361,297.22,","43.76,","83.64,",63.7,,,,,,,,,,,,,,,,
292,1987,26.0,"0.379,297.87,","57.25,","82.10,",69.68,,,,,,,,,,,,,,,,
293,1987,27.0,"0.388,298.32,","64.58,","77.80,",71.19,,,,,,,,,,,,,,,,
294,1987,28.0,"0.391,298.88,","69.93,","72.09,",71.01,,,,,,,,,,,,,,,,
295,1987,29.0,"0.386,299.03,","71.47,","71.36,",71.41,,,,,,,,,,,,,,,,
296,1987,30.0,"0.383,299.16,","74.55,","70.64,",72.59,,,,,,,,,,,,,,,,
297,1987,31.0,"0.373,298.72,","74.73,","74.49,",74.61,,,,,,,,,,,,,,,,
298,1987,32.0,"0.356,297.86,","71.71,","80.50,",76.1,,,,,,,,,,,,,,,,
299,1987,33.0,"0.336,297.09,","66.33,","84.60,",75.46,,,,,,,,,,,,,,,,
300,1987,34.0,"0.314,296.35,","60.51,","86.74,",73.63,,,,,,,,,,,,,,,,
301,1987,35.0,"0.294,295.66,","57.61,","86.18,",71.9,,,,,,,,,,,,,,,,
302,1987,36.0,"0.269,294.50,","52.49,","84.02,",68.25,,,,,,,,,,,,,,,,
303,1987,37.0,"0.245,292.70,","48.18,","83.71,",65.94,,,,,,,,,,,,,,,,
304,1987,38.0,"0.226,291.20,","47.67,","79.53,",63.6,,,,,,,,,,,,,,,,
305,1987,39.0,"0.207,290.00,","47.81,","68.33,",58.07,,,,,,,,,,,,,,,,
306,1987,40.0,"0.188,287.95,","47.16,","64.35,",55.76,,,,,,,,,,,,,,,,
307,1987,41.0,"0.168,285.60,","45.44,","58.63,",52.03,,,,,,,,,,,,,,,,
308,1987,42.0,"0.144,281.94,","42.21,","62.41,",52.31,,,,,,,,,,,,,,,,
309,1987,43.0,"0.121,276.78,","39.54,","72.28,",55.91,,,,,,,,,,,,,,,,
310,1987,44.0,"0.093,271.91,","31.89,","74.13,",53.01,,,,,,,,,,,,,,,,
311,1987,45.0,"0.072,268.14,","26.35,","70.89,",48.62,,,,,,,,,,,,,,,,
312,1987,46.0,"0.058,265.28,","23.38,","63.84,",43.61,,,,,,,,,,,,,,,,
313,1987,47.0,"0.050,263.47,","22.96,","57.31,",40.13,,,,,,,,,,,,,,,,
314,1987,48.0,"0.046,262.14,","24.17,","50.60,",37.38,,,,,,,,,,,,,,,,
315,1987,49.0,"0.042,261.11,","24.04,","44.20,",34.12,,,,,,,,,,,,,,,,
316,1987,50.0,"0.040,260.06,","24.99,","39.85,",32.42,,,,,,,,,,,,,,,,
317,1987,51.0,"0.039,259.56,","29.22,","38.62,",33.92,,,,,,,,,,,,,,,,
318,1987,52.0,"0.038,259.52,","35.54,","37.33,",36.44,,,,,,,,,,,,,,,,
319,1988,1.0,"0.038,258.47,","46.43,","41.34,",43.89,,,,,,,,,,,,,,,,
320,1988,2.0,"0.039,258.19,","49.12,","42.45,",45.79,,,,,,,,,,,,,,,,
321,1988,3.0,"0.039,258.41,","48.95,","42.06,",45.5,,,,,,,,,,,,,,,,
322,1988,4.0,"0.037,257.66,","45.65,","48.70,",47.17,,,,,,,,,,,,,,,,
323,1988,5.0,"0.037,257.80,","42.01,","53.14,",47.57,,,,,,,,,,,,,,,,
324,1988,6.0,"0.037,258.40,","37.31,","56.68,",47.0,,,,,,,,,,,,,,,,
325,1988,7.0,"0.037,258.30,","30.83,","62.63,",46.73,,,,,,,,,,,,,,,,
326,1988,8.0,"0.037,259.16,","26.97,","65.28,",46.12,,,,,,,,,,,,,,,,
327,1988,9.0,"0.039,260.01,","24.90,","69.44,",47.17,,,,,,,,,,,,,,,,
328,1988,10.0,"0.042,262.16,","22.54,","72.36,",47.45,,,,,,,,,,,,,,,,
329,1988,11.0,"0.047,266.20,","22.81,","71.77,",47.29,,,,,,,,,,,,,,,,
330,1988,12.0,"0.050,270.80,","21.82,","66.58,",44.2,,,,,,,,,,,,,,,,
331,1988,13.0,"0.057,275.45,","21.58,","59.89,",40.73,,,,,,,,,,,,,,,,
332,1988,14.0,"0.073,279.46,","24.15,","52.28,",38.22,,,,,,,,,,,,,,,,
333,1988,15.0,"0.097,283.29,","28.38,","46.82,",37.6,,,,,,,,,,,,,,,,
334,1988,16.0,"0.124,286.74,","31.48,","44.50,",37.99,,,,,,,,,,,,,,,,
335,1988,17.0,"0.149,288.10,","31.16,","54.03,",42.59,,,,,,,,,,,,,,,,
336,1988,18.0,"0.179,289.76,","30.93,","66.11,",48.52,,,,,,,,,,,,,,,,
337,1988,19.0,"0.214,291.62,","31.08,","75.01,",53.04,,,,,,,,,,,,,,,,
338,1988,20.0,"0.250,293.16,","31.35,","78.12,",54.74,,,,,,,,,,,,,,,,
339,1988,21.0,"0.280,294.36,","29.60,","78.61,",54.1,,,,,,,,,,,,,,,,
340,1988,22.0,"0.307,295.20,","27.47,","78.44,",52.95,,,,,,,,,,,,,,,,
341,1988,23.0,"0.331,295.85,","28.36,","79.87,",54.12,,,,,,,,,,,,,,,,
342,1988,24.0,"0.353,296.71,","37.04,","80.89,",58.97,,,,,,,,,,,,,,,,
343,1988,25.0,"0.365,296.94,","46.01,","85.07,",65.54,,,,,,,,,,,,,,,,
344,1988,26.0,"0.374,297.14,","54.36,","87.62,",70.99,,,,,,,,,,,,,,,,
345,1988,27.0,"0.383,297.71,","61.70,","83.31,",72.5,,,,,,,,,,,,,,,,
346,1988,28.0,"0.388,298.23,","68.19,","78.14,",73.16,,,,,,,,,,,,,,,,
347,1988,29.0,"0.384,298.58,","70.55,","75.51,",73.03,,,,,,,,,,,,,,,,
348,1988,30.0,"0.374,298.56,","69.95,","76.11,",73.03,,,,,,,,,,,,,,,,
349,1988,31.0,"0.363,298.45,","69.31,","76.92,",73.12,,,,,,,,,,,,,,,,
350,1988,32.0,"0.351,298.39,","68.75,","75.69,",72.22,,,,,,,,,,,,,,,,
351,1988,33.0,"0.337,298.44,","66.32,","72.12,",69.22,,,,,,,,,,,,,,,,
352,1988,34.0,"0.312,297.84,","59.30,","72.78,",66.04,,,,,,,,,,,,,,,,
353,1988,35.0,"0.280,296.69,","49.75,","75.77,",62.76,,,,,,,,,,,,,,,,
354,1988,36.0,"0.257,295.25,","45.34,","75.74,",60.54,,,,,,,,,,,,,,,,
355,1988,37.0,"0.243,293.47,","46.60,","74.74,",60.67,,,,,,,,,,,,,,,,
356,1988,38.0,"0.238,291.63,","54.63,","74.12,",64.38,,,,,,,,,,,,,,,,
357,1988,39.0,"0.239,289.72,","66.27,","70.97,",68.62,,,,,,,,,,,,,,,,
358,1988,40.0,"0.238,287.73,","73.97,","66.23,",70.1,,,,,,,,,,,,,,,,
359,1988,41.0,"0.228,285.47,","76.31,","60.03,",68.17,,,,,,,,,,,,,,,,
360,1988,42.0,"0.212,282.95,","76.46,","53.62,",65.04,,,,,,,,,,,,,,,,
361,1988,43.0,"0.192,280.05,","75.51,","48.80,",62.15,,,,,,,,,,,,,,,,
362,1988,44.0,"0.164,276.85,","70.01,","45.60,",57.8,,,,,,,,,,,,,,,,
363,1988,45.0,"0.140,273.80,","65.14,","42.80,",53.97,,,,,,,,,,,,,,,,
364,1988,46.0,"0.117,271.37,","60.27,","37.53,",48.9,,,,,,,,,,,,,,,,
365,1988,47.0,"0.095,269.45,","53.13,","32.86,",43.0,,,,,,,,,,,,,,,,
366,1988,48.0,"0.077,267.64,","47.15,","28.57,",37.86,,,,,,,,,,,,,,,,
367,1988,49.0,"0.065,265.82,","42.16,","25.43,",33.79,,,,,,,,,,,,,,,,
368,1988,50.0,"0.056,263.97,","39.21,","24.06,",31.64,,,,,,,,,,,,,,,,
369,1988,51.0,"0.049,262.73,","40.53,","25.28,",32.91,,,,,,,,,,,,,,,,
370,1988,52.0,"0.043,262.47,","40.46,","24.25,",32.36,,,,,,,,,,,,,,,,
371,1989,1.0,"0.039,262.59,","46.26,","22.24,",34.25,,,,,,,,,,,,,,,,
372,1989,2.0,"0.037,263.50,","43.50,","18.29,",30.9,,,,,,,,,,,,,,,,
373,1989,3.0,"0.035,264.62,","40.82,","14.94,",27.88,,,,,,,,,,,,,,,,
374,1989,4.0,"0.037,266.70,","43.33,","10.34,",26.83,,,,,,,,,,,,,,,,
375,1989,5.0,"0.040,269.13,","45.63,","7.10,",26.37,,,,,,,,,,,,,,,,
376,1989,6.0,"0.044,270.75,","45.46,","8.84,",27.15,,,,,,,,,,,,,,,,
377,1989,7.0,"0.051,272.38,","44.76,","12.33,",28.55,,,,,,,,,,,,,,,,
378,1989,8.0,"0.058,274.82,","45.66,","13.18,",29.42,,,,,,,,,,,,,,,,
379,1989,9.0,"0.069,277.57,","48.74,","12.10,",30.42,,,,,,,,,,,,,,,,
380,1989,10.0,"0.087,280.32,","54.62,","11.66,",33.14,,,,,,,,,,,,,,,,
381,1989,11.0,"0.107,282.73,","61.22,","12.30,",36.76,,,,,,,,,,,,,,,,
382,1989,12.0,"0.126,285.15,","65.36,","13.84,",39.6,,,,,,,,,,,,,,,,
383,1989,13.0,"0.152,287.86,","71.00,","14.76,",42.88,,,,,,,,,,,,,,,,
384,1989,14.0,"0.184,290.63,","76.65,","12.10,",44.38,,,,,,,,,,,,,,,,
385,1989,15.0,"0.219,292.95,","81.01,","11.49,",46.25,,,,,,,,,,,,,,,,
386,1989,16.0,"0.261,294.78,","84.49,","13.54,",49.02,,,,,,,,,,,,,,,,
387,1989,17.0,"0.300,296.27,","85.78,","15.53,",50.66,,,,,,,,,,,,,,,,
388,1989,18.0,"0.337,297.69,","87.35,","18.14,",52.74,,,,,,,,,,,,,,,,
389,1989,19.0,"0.366,298.39,","87.12,","26.22,",56.67,,,,,,,,,,,,,,,,
390,1989,20.0,"0.382,298.77,","84.81,","35.09,",59.95,,,,,,,,,,,,,,,,
391,1989,21.0,"0.391,299.37,","79.79,","39.33,",59.56,,,,,,,,,,,,,,,,
392,1989,22.0,"0.392,299.68,","70.70,","42.10,",56.4,,,,,,,,,,,,,,,,
393,1989,23.0,"0.384,299.59,","57.51,","47.69,",52.6,,,,,,,,,,,,,,,,
394,1989,24.0,"0.368,299.48,","44.87,","55.19,",50.03,,,,,,,,,,,,,,,,
395,1989,25.0,"0.352,299.16,","38.00,","64.64,",51.32,,,,,,,,,,,,,,,,
396,1989,26.0,"0.346,299.20,","38.67,","69.12,",53.9,,,,,,,,,,,,,,,,
397,1989,27.0,"0.347,299.52,","42.00,","66.58,",54.29,,,,,,,,,,,,,,,,
398,1989,28.0,"0.343,299.87,","45.23,","63.25,",54.24,,,,,,,,,,,,,,,,
399,1989,29.0,"0.336,300.18,","46.13,","61.07,",53.6,,,,,,,,,,,,,,,,
400,1989,30.0,"0.325,300.39,","45.32,","59.66,",52.49,,,,,,,,,,,,,,,,
401,1989,31.0,"0.316,300.84,","46.46,","55.25,",50.86,,,,,,,,,,,,,,,,
402,1989,32.0,"0.304,301.25,","46.08,","49.53,",47.81,,,,,,,,,,,,,,,,
403,1989,33.0,"0.288,300.82,","41.94,","49.93,",45.93,,,,,,,,,,,,,,,,
404,1989,34.0,"0.274,299.97,","39.70,","52.36,",46.03,,,,,,,,,,,,,,,,
405,1989,35.0,"0.260,298.88,","39.66,","53.45,",46.55,,,,,,,,,,,,,,,,
406,1989,36.0,"0.246,297.20,","39.70,","54.48,",47.09,,,,,,,,,,,,,,,,
407,1989,37.0,"0.231,295.65,","40.36,","50.22,",45.29,,,,,,,,,,,,,,,,
408,1989,38.0,"0.222,293.83,","45.80,","48.75,",47.28,,,,,,,,,,,,,,,,
409,1989,39.0,"0.217,292.14,","54.53,","43.49,",49.01,,,,,,,,,,,,,,,,
410,1989,40.0,"0.211,290.05,","60.97,","40.98,",50.98,,,,,,,,,,,,,,,,
411,1989,41.0,"0.205,288.12,","65.70,","32.46,",49.08,,,,,,,,,,,,,,,,
412,1989,42.0,"0.195,286.35,","69.25,","22.32,",45.79,,,,,,,,,,,,,,,,
413,1989,43.0,"0.184,284.04,","72.92,","19.17,",46.04,,,,,,,,,,,,,,,,
414,1989,44.0,"0.171,281.69,","74.65,","16.12,",45.38,,,,,,,,,,,,,,,,
415,1989,45.0,"0.147,278.84,","69.85,","16.15,",43.0,,,,,,,,,,,,,,,,
416,1989,46.0,"0.119,275.06,","61.50,","20.64,",41.07,,,,,,,,,,,,,,,,
417,1989,47.0,"0.093,270.65,","51.66,","27.79,",39.73,,,,,,,,,,,,,,,,
418,1989,48.0,"0.071,266.69,","42.89,","32.64,",37.77,,,,,,,,,,,,,,,,
419,1989,49.0,"0.057,263.67,","35.97,","34.47,",35.22,,,,,,,,,,,,,,,,
420,1989,50.0,"0.047,262.32,","31.10,","31.08,",31.09,,,,,,,,,,,,,,,,
421,1989,51.0,"0.040,261.30,","29.48,","31.57,",30.53,,,,,,,,,,,,,,,,
422,1989,52.0,"0.035,260.39,","29.31,","33.81,",31.56,,,,,,,,,,,,,,,,
423,1990,1.0,"0.032,259.86,","32.29,","35.13,",33.71,,,,,,,,,,,,,,,,
424,1990,2.0,"0.032,260.10,","34.05,","33.95,",34.0,,,,,,,,,,,,,,,,
425,1990,3.0,"0.034,260.95,","38.76,","31.04,",34.9,,,,,,,,,,,,,,,,
426,1990,4.0,"0.037,262.20,","43.45,","29.00,",36.23,,,,,,,,,,,,,,,,
427,1990,5.0,"0.043,265.00,","50.51,","22.64,",36.57,,,,,,,,,,,,,,,,
428,1990,6.0,"0.054,268.90,","58.57,","15.40,",36.98,,,,,,,,,,,,,,,,
429,1990,7.0,"0.072,273.18,","67.87,","9.47,",38.67,,,,,,,,,,,,,,,,
430,1990,8.0,"0.089,277.20,","74.00,","5.38,",39.69,,,,,,,,,,,,,,,,
431,1990,9.0,"0.107,280.29,","78.42,","3.27,",40.84,,,,,,,,,,,,,,,,
432,1990,10.0,"0.127,283.15,","82.55,","2.10,",42.32,,,,,,,,,,,,,,,,
433,1990,11.0,"0.144,285.39,","83.49,","2.50,",42.99,,,,,,,,,,,,,,,,
434,1990,12.0,"0.163,287.57,","85.03,","4.58,",44.81,,,,,,,,,,,,,,,,
435,1990,13.0,"0.179,288.99,","84.21,","10.49,",47.35,,,,,,,,,,,,,,,,
436,1990,14.0,"0.195,290.15,","81.22,","13.75,",47.49,,,,,,,,,,,,,,,,
437,1990,15.0,"0.210,290.43,","76.83,","20.63,",48.73,,,,,,,,,,,,,,,,
438,1990,16.0,"0.231,290.54,","73.60,","29.77,",51.69,,,,,,,,,,,,,,,,
439,1990,17.0,"0.264,291.48,","73.69,","37.97,",55.83,,,,,,,,,,,,,,,,
440,1990,18.0,"0.305,293.07,","77.27,","46.55,",61.91,,,,,,,,,,,,,,,,
441,1990,19.0,"0.344,294.37,","80.57,","56.33,",68.45,,,,,,,,,,,,,,,,
442,1990,20.0,"0.365,295.32,","77.65,","62.77,",70.21,,,,,,,,,,,,,,,,
443,1990,21.0,"0.368,295.64,","69.77,","69.89,",69.83,,,,,,,,,,,,,,,,
444,1990,22.0,"0.363,296.04,","55.47,","72.84,",64.16,,,,,,,,,,,,,,,,
445,1990,23.0,"0.358,296.84,","42.75,","72.44,",57.59,,,,,,,,,,,,,,,,
446,1990,24.0,"0.355,297.45,","37.21,","74.92,",56.07,,,,,,,,,,,,,,,,
447,1990,25.0,"0.355,298.77,","40.20,","68.59,",54.39,,,,,,,,,,,,,,,,
448,1990,26.0,"0.353,299.95,","42.93,","61.26,",52.09,,,,,,,,,,,,,,,,
449,1990,27.0,"0.342,300.55,","39.48,","56.30,",47.89,,,,,,,,,,,,,,,,
450,1990,28.0,"0.323,300.72,","34.81,","54.90,",44.85,,,,,,,,,,,,,,,,
451,1990,29.0,"0.301,300.55,","28.32,","57.03,",42.67,,,,,,,,,,,,,,,,
452,1990,30.0,"0.284,300.52,","24.93,","57.78,",41.35,,,,,,,,,,,,,,,,
453,1990,31.0,"0.274,300.59,","25.76,","57.02,",41.39,,,,,,,,,,,,,,,,
454,1990,32.0,"0.266,300.40,","26.73,","57.10,",41.91,,,,,,,,,,,,,,,,
455,1990,33.0,"0.255,299.93,","24.90,","58.38,",41.64,,,,,,,,,,,,,,,,
456,1990,34.0,"0.244,299.11,","23.06,","60.99,",42.03,,,,,,,,,,,,,,,,
457,1990,35.0,"0.230,297.95,","22.06,","63.72,",42.89,,,,,,,,,,,,,,,,
458,1990,36.0,"0.216,296.40,","22.52,","64.37,",43.45,,,,,,,,,,,,,,,,
459,1990,37.0,"0.204,294.64,","24.68,","62.99,",43.84,,,,,,,,,,,,,,,,
460,1990,38.0,"0.196,293.08,","29.84,","59.08,",44.46,,,,,,,,,,,,,,,,
461,1990,39.0,"0.190,291.54,","38.06,","51.50,",44.78,,,,,,,,,,,,,,,,
462,1990,40.0,"0.181,289.68,","43.43,","45.58,",44.5,,,,,,,,,,,,,,,,
463,1990,41.0,"0.169,287.56,","45.85,","38.35,",42.1,,,,,,,,,,,,,,,,
464,1990,42.0,"0.148,284.92,","44.15,","35.74,",39.95,,,,,,,,,,,,,,,,
465,1990,43.0,"0.123,281.29,","40.07,","39.89,",39.98,,,,,,,,,,,,,,,,
466,1990,44.0,"0.101,278.30,","35.94,","37.30,",36.62,,,,,,,,,,,,,,,,
467,1990,45.0,"0.084,276.09,","33.03,","31.35,",32.19,,,,,,,,,,,,,,,,
468,1990,46.0,"0.069,273.44,","29.83,","28.56,",29.2,,,,,,,,,,,,,,,,
469,1990,47.0,"0.060,271.36,","28.99,","24.79,",26.89,,,,,,,,,,,,,,,,
470,1990,48.0,"0.053,269.70,","28.83,","19.86,",24.35,,,,,,,,,,,,,,,,
471,1990,49.0,"0.049,268.49,","28.32,","14.26,",21.29,,,,,,,,,,,,,,,,
472,1990,50.0,"0.044,267.44,","27.68,","9.55,",18.62,,,,,,,,,,,,,,,,
473,1990,51.0,"0.043,266.64,","32.05,","8.61,",20.33,,,,,,,,,,,,,,,,
474,1990,52.0,"0.044,265.65,","41.09,","10.04,",25.56,,,,,,,,,,,,,,,,
475,1991,1.0,"0.046,265.27,","57.31,","9.66,",33.48,,,,,,,,,,,,,,,,
476,1991,2.0,"0.047,265.41,","61.10,","9.31,",35.2,,,,,,,,,,,,,,,,
477,1991,3.0,"0.048,264.76,","63.30,","13.55,",38.42,,,,,,,,,,,,,,,,
478,1991,4.0,"0.047,263.33,","59.79,","23.47,",41.63,,,,,,,,,,,,,,,,
479,1991,5.0,"0.045,263.61,","53.25,","28.09,",40.67,,,,,,,,,,,,,,,,
480,1991,6.0,"0.041,263.89,","42.80,","34.80,",38.8,,,,,,,,,,,,,,,,
481,1991,7.0,"0.036,262.97,","29.60,","45.50,",37.55,,,,,,,,,,,,,,,,
482,1991,8.0,"0.034,262.67,","23.20,","53.10,",38.15,,,,,,,,,,,,,,,,
483,1991,9.0,"0.035,263.20,","20.69,","58.86,",39.77,,,,,,,,,,,,,,,,
484,1991,10.0,"0.037,265.43,","18.58,","61.78,",40.18,,,,,,,,,,,,,,,,
485,1991,11.0,"0.039,268.21,","17.30,","65.13,",41.22,,,,,,,,,,,,,,,,
486,1991,12.0,"0.050,272.88,","21.58,","60.15,",40.86,,,,,,,,,,,,,,,,
487,1991,13.0,"0.066,278.12,","26.45,","51.36,",38.9,,,,,,,,,,,,,,,,
488,1991,14.0,"0.084,282.85,","29.56,","40.50,",35.03,,,,,,,,,,,,,,,,
489,1991,15.0,"0.116,287.03,","36.80,","33.41,",35.11,,,,,,,,,,,,,,,,
490,1991,16.0,"0.157,289.23,","44.61,","35.25,",39.93,,,,,,,,,,,,,,,,
491,1991,17.0,"0.198,291.07,","49.32,","40.46,",44.89,,,,,,,,,,,,,,,,
492,1991,18.0,"0.235,293.01,","51.68,","47.14,",49.41,,,,,,,,,,,,,,,,
493,1991,19.0,"0.275,293.91,","54.45,","59.80,",57.13,,,,,,,,,,,,,,,,
494,1991,20.0,"0.316,294.43,","57.94,","70.01,",63.98,,,,,,,,,,,,,,,,
495,1991,21.0,"0.355,295.85,","63.33,","68.27,",65.8,,,,,,,,,,,,,,,,
496,1991,22.0,"0.382,297.41,","65.56,","61.20,",63.38,,,,,,,,,,,,,,,,
497,1991,23.0,"0.400,298.61,","67.07,","56.47,",61.77,,,,,,,,,,,,,,,,
498,1991,24.0,"0.407,299.27,","68.62,","57.21,",62.91,,,,,,,,,,,,,,,,
499,1991,25.0,"0.413,300.18,","73.88,","54.05,",63.97,,,,,,,,,,,,,,,,
500,1991,26.0,"0.411,301.06,","74.44,","49.93,",62.18,,,,,,,,,,,,,,,,
501,1991,27.0,"0.399,301.42,","70.29,","47.95,",59.12,,,,,,,,,,,,,,,,
502,1991,28.0,"0.387,301.54,","68.10,","47.38,",57.74,,,,,,,,,,,,,,,,
503,1991,29.0,"0.378,301.85,","67.87,","45.15,",56.51,,,,,,,,,,,,,,,,
504,1991,30.0,"0.365,302.07,","65.49,","43.57,",54.53,,,,,,,,,,,,,,,,
505,1991,31.0,"0.341,301.52,","58.94,","48.52,",53.73,,,,,,,,,,,,,,,,
506,1991,32.0,"0.318,300.59,","52.73,","55.30,",54.01,,,,,,,,,,,,,,,,
507,1991,33.0,"0.300,299.66,","47.86,","60.56,",54.21,,,,,,,,,,,,,,,,
508,1991,34.0,"0.286,298.47,","45.76,","66.72,",56.24,,,,,,,,,,,,,,,,
509,1991,35.0,"0.272,297.28,","45.81,","69.98,",57.89,,,,,,,,,,,,,,,,
510,1991,36.0,"0.256,296.24,","45.07,","65.55,",55.31,,,,,,,,,,,,,,,,
511,1991,37.0,"0.247,295.31,","49.52,","55.29,",52.4,,,,,,,,,,,,,,,,
512,1991,38.0,"0.237,294.49,","55.26,","42.75,",49.0,,,,,,,,,,,,,,,,
513,1991,39.0,"0.226,293.62,","60.22,","28.30,",44.26,,,,,,,,,,,,,,,,
514,1991,40.0,"0.208,291.72,","58.93,","24.02,",41.48,,,,,,,,,,,,,,,,
515,1991,41.0,"0.182,289.17,","53.23,","22.38,",37.81,,,,,,,,,,,,,,,,
516,1991,42.0,"0.156,286.35,","48.55,","22.46,",35.5,,,,,,,,,,,,,,,,
517,1991,43.0,"0.129,282.65,","43.53,","29.29,",36.41,,,,,,,,,,,,,,,,
518,1991,44.0,"0.103,278.78,","37.16,","33.60,",35.38,,,,,,,,,,,,,,,,
519,1991,45.0,"0.084,274.99,","33.12,","36.35,",34.73,,,,,,,,,,,,,,,,
520,1991,46.0,"0.073,271.62,","32.87,","36.27,",34.57,,,,,,,,,,,,,,,,
521,1991,47.0,"0.065,268.79,","33.07,","35.56,",34.32,,,,,,,,,,,,,,,,
522,1991,48.0,"0.059,265.94,","33.69,","35.48,",34.59,,,,,,,,,,,,,,,,
523,1991,49.0,"0.052,263.38,","31.82,","35.33,",33.58,,,,,,,,,,,,,,,,
524,1991,50.0,"0.047,261.18,","32.03,","35.62,",33.83,,,,,,,,,,,,,,,,
525,1991,51.0,"0.045,259.58,","36.98,","39.04,",38.01,,,,,,,,,,,,,,,,
526,1991,52.0,"0.046,258.94,","46.52,","40.61,",43.56,,,,,,,,,,,,,,,,
527,1992,1.0,"0.046,257.04,","60.12,","48.77,",54.45,,,,,,,,,,,,,,,,
528,1992,2.0,"0.044,254.78,","59.19,","59.02,",59.1,,,,,,,,,,,,,,,,
529,1992,3.0,"0.043,253.17,","56.73,","65.86,",61.3,,,,,,,,,,,,,,,,
530,1992,4.0,"0.041,252.52,","50.71,","71.25,",60.98,,,,,,,,,,,,,,,,
531,1992,5.0,"0.039,252.45,","45.45,","75.65,",60.55,,,,,,,,,,,,,,,,
532,1992,6.0,"0.039,253.00,","40.72,","77.63,",59.18,,,,,,,,,,,,,,,,
533,1992,7.0,"0.041,254.55,","35.06,","75.77,",55.42,,,,,,,,,,,,,,,,
534,1992,8.0,"0.043,258.20,","32.57,","68.67,",50.62,,,,,,,,,,,,,,,,
535,1992,9.0,"0.048,262.62,","31.49,","61.56,",46.53,,,,,,,,,,,,,,,,
536,1992,10.0,"0.054,267.87,","31.27,","54.29,",42.78,,,,,,,,,,,,,,,,
537,1992,11.0,"0.066,273.29,","34.71,","47.42,",41.06,,,,,,,,,,,,,,,,
538,1992,12.0,"0.082,278.83,","39.81,","37.87,",38.84,,,,,,,,,,,,,,,,
539,1992,13.0,"0.098,283.25,","43.11,","31.87,",37.49,,,,,,,,,,,,,,,,
540,1992,14.0,"0.114,286.34,","43.54,","27.48,",35.51,,,,,,,,,,,,,,,,
541,1992,15.0,"0.131,288.21,","43.39,","28.70,",36.04,,,,,,,,,,,,,,,,
542,1992,16.0,"0.161,290.49,","46.03,","29.83,",37.93,,,,,,,,,,,,,,,,
543,1992,17.0,"0.195,292.83,","48.18,","31.46,",39.82,,,,,,,,,,,,,,,,
544,1992,18.0,"0.230,294.08,","49.45,","40.09,",44.77,,,,,,,,,,,,,,,,
545,1992,19.0,"0.257,294.75,","47.42,","53.14,",50.28,,,,,,,,,,,,,,,,
546,1992,20.0,"0.280,294.98,","43.59,","65.00,",54.3,,,,,,,,,,,,,,,,
547,1992,21.0,"0.305,295.26,","40.76,","72.44,",56.6,,,,,,,,,,,,,,,,
548,1992,22.0,"0.322,295.26,","34.12,","78.91,",56.51,,,,,,,,,,,,,,,,
549,1992,23.0,"0.343,295.36,","34.08,","85.03,",59.55,,,,,,,,,,,,,,,,
550,1992,24.0,"0.364,296.15,","42.87,","86.95,",64.91,,,,,,,,,,,,,,,,
551,1992,25.0,"0.379,297.27,","54.17,","83.31,",68.74,,,,,,,,,,,,,,,,
552,1992,26.0,"0.384,297.87,","60.23,","81.89,",71.06,,,,,,,,,,,,,,,,
553,1992,27.0,"0.381,298.01,","61.08,","80.42,",70.75,,,,,,,,,,,,,,,,
554,1992,28.0,"0.377,297.90,","63.12,","80.61,",71.87,,,,,,,,,,,,,,,,
555,1992,29.0,"0.380,298.52,","68.87,","75.38,",72.12,,,,,,,,,,,,,,,,
556,1992,30.0,"0.373,299.09,","70.02,","70.61,",70.32,,,,,,,,,,,,,,,,
557,1992,31.0,"0.357,299.18,","67.23,","69.64,",68.43,,,,,,,,,,,,,,,,
558,1992,32.0,"0.342,299.11,","65.37,","68.50,",66.94,,,,,,,,,,,,,,,,
559,1992,33.0,"0.328,299.07,","63.33,","65.70,",64.51,,,,,,,,,,,,,,,,
560,1992,34.0,"0.310,298.54,","60.13,","65.48,",62.8,,,,,,,,,,,,,,,,
