,Mean,data,for,UKR,Province=,16:,"Mykolayiv,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
279,1987,13.0,"0.037,266.67,","0.55,","96.48,",48.52,,,,,,,,,,,,,,,,
280,1987,14.0,"0.045,270.37,","0.21,","97.52,",48.87,,,,,,,,,,,,,,,,
281,1987,15.0,"0.058,275.68,","0.55,","96.02,",48.28,,,,,,,,,,,,,,,,
282,1987,16.0,"0.078,281.98,","0.75,","94.62,",47.68,,,,,,,,,,,,,,,,
283,1987,17.0,"0.103,287.89,","0.66,","89.94,",45.3,,,,,,,,,,,,,,,,
284,1987,18.0,"0.130,291.52,","0.60,","85.32,",42.96,,,,,,,,,,,,,,,,
285,1987,19.0,"0.166,294.42,","1.04,","79.53,",40.28,,,,,,,,,,,,,,,,
286,1987,20.0,"0.201,296.86,","2.21,","69.41,",35.81,,,,,,,,,,,,,,,,
287,1987,21.0,"0.231,298.20,","4.70,","64.74,",34.72,,,,,,,,,,,,,,,,
288,1987,22.0,"0.258,299.44,","11.16,","59.45,",35.31,,,,,,,,,,,,,,,,
289,1987,23.0,"0.282,300.22,","22.14,","56.06,",39.1,,,,,,,,,,,,,,,,
290,1987,24.0,"0.302,300.90,","33.99,","53.90,",43.95,,,,,,,,,,,,,,,,
291,1987,25.0,"0.317,301.66,","43.95,","51.77,",47.86,,,,,,,,,,,,,,,,
292,1987,26.0,"0.323,302.40,","49.20,","49.32,",49.26,,,,,,,,,,,,,,,,
293,1987,27.0,"0.316,302.79,","48.54,","48.89,",48.71,,,,,,,,,,,,,,,,
294,1987,28.0,"0.307,302.94,","47.17,","48.12,",47.64,,,,,,,,,,,,,,,,
295,1987,29.0,"0.293,302.83,","44.60,","48.48,",46.54,,,,,,,,,,,,,,,,
296,1987,30.0,"0.279,302.31,","42.93,","50.58,",46.76,,,,,,,,,,,,,,,,
297,1987,31.0,"0.265,301.32,","42.45,","55.12,",48.79,,,,,,,,,,,,,,,,
298,1987,32.0,"0.261,300.60,","46.43,","57.85,",52.14,,,,,,,,,,,,,,,,
299,1987,33.0,"0.259,299.98,","51.24,","60.79,",56.01,,,,,,,,,,,,,,,,
300,1987,34.0,"0.256,299.16,","54.89,","64.96,",59.93,,,,,,,,,,,,,,,,
301,1987,35.0,"0.251,298.15,","57.70,","66.77,",62.23,,,,,,,,,,,,,,,,
302,1987,36.0,"0.248,296.87,","60.42,","63.90,",62.16,,,,,,,,,,,,,,,,
303,1987,37.0,"0.241,295.17,","61.58,","63.37,",62.47,,,,,,,,,,,,,,,,
304,1987,38.0,"0.229,293.35,","59.92,","65.65,",62.79,,,,,,,,,,,,,,,,
305,1987,39.0,"0.214,291.32,","56.65,","68.85,",62.75,,,,,,,,,,,,,,,,
306,1987,40.0,"0.197,289.37,","51.99,","66.98,",59.48,,,,,,,,,,,,,,,,
307,1987,41.0,"0.179,287.03,","47.87,","63.89,",55.88,,,,,,,,,,,,,,,,
308,1987,42.0,"0.156,283.58,","42.44,","66.09,",54.27,,,,,,,,,,,,,,,,
309,1987,43.0,"0.128,279.48,","34.86,","70.06,",52.46,,,,,,,,,,,,,,,,
310,1987,44.0,"0.101,274.67,","27.29,","74.68,",50.98,,,,,,,,,,,,,,,,
311,1987,45.0,"0.083,271.03,","23.18,","76.68,",49.93,,,,,,,,,,,,,,,,
312,1987,46.0,"0.070,268.14,","20.81,","77.84,",49.32,,,,,,,,,,,,,,,,
313,1987,47.0,"0.064,266.87,","20.39,","72.58,",46.48,,,,,,,,,,,,,,,,
314,1987,48.0,"0.061,266.59,","22.13,","61.76,",41.94,,,,,,,,,,,,,,,,
315,1987,49.0,"0.064,266.27,","27.19,","50.66,",38.92,,,,,,,,,,,,,,,,
316,1987,50.0,"0.063,266.06,","29.76,","42.42,",36.09,,,,,,,,,,,,,,,,
317,1987,51.0,"0.058,265.69,","30.62,","38.36,",34.49,,,,,,,,,,,,,,,,
318,1987,52.0,"0.055,265.14,","30.16,","37.17,",33.66,,,,,,,,,,,,,,,,
319,1988,1.0,"0.054,264.95,","32.26,","37.52,",34.89,,,,,,,,,,,,,,,,
320,1988,2.0,"0.050,264.75,","32.11,","36.69,",34.4,,,,,,,,,,,,,,,,
321,1988,3.0,"0.049,265.21,","32.16,","33.85,",33.0,,,,,,,,,,,,,,,,
322,1988,4.0,"0.049,266.17,","31.73,","31.79,",31.76,,,,,,,,,,,,,,,,
323,1988,5.0,"0.049,267.11,","31.42,","30.67,",31.04,,,,,,,,,,,,,,,,
324,1988,6.0,"0.049,268.52,","30.40,","30.52,",30.46,,,,,,,,,,,,,,,,
325,1988,7.0,"0.048,269.40,","27.41,","33.52,",30.47,,,,,,,,,,,,,,,,
326,1988,8.0,"0.053,271.08,","27.90,","34.69,",31.3,,,,,,,,,,,,,,,,
327,1988,9.0,"0.057,272.67,","28.10,","37.80,",32.95,,,,,,,,,,,,,,,,
328,1988,10.0,"0.062,274.37,","25.06,","41.05,",33.05,,,,,,,,,,,,,,,,
329,1988,11.0,"0.075,276.94,","26.01,","39.55,",32.78,,,,,,,,,,,,,,,,
330,1988,12.0,"0.088,279.93,","26.72,","38.63,",32.67,,,,,,,,,,,,,,,,
331,1988,13.0,"0.106,282.99,","29.16,","37.82,",33.49,,,,,,,,,,,,,,,,
332,1988,14.0,"0.136,285.73,","35.45,","37.49,",36.47,,,,,,,,,,,,,,,,
333,1988,15.0,"0.171,287.62,","42.11,","42.97,",42.54,,,,,,,,,,,,,,,,
334,1988,16.0,"0.209,289.55,","47.13,","53.48,",50.3,,,,,,,,,,,,,,,,
335,1988,17.0,"0.240,290.63,","48.69,","71.20,",59.95,,,,,,,,,,,,,,,,
336,1988,18.0,"0.265,291.56,","48.75,","82.61,",65.68,,,,,,,,,,,,,,,,
337,1988,19.0,"0.286,292.29,","46.56,","91.70,",69.13,,,,,,,,,,,,,,,,
338,1988,20.0,"0.307,293.29,","45.54,","93.51,",69.52,,,,,,,,,,,,,,,,
339,1988,21.0,"0.325,294.31,","47.01,","92.19,",69.6,,,,,,,,,,,,,,,,
340,1988,22.0,"0.337,295.11,","49.16,","90.09,",69.63,,,,,,,,,,,,,,,,
341,1988,23.0,"0.344,295.78,","53.27,","87.14,",70.21,,,,,,,,,,,,,,,,
342,1988,24.0,"0.353,296.75,","59.28,","83.69,",71.48,,,,,,,,,,,,,,,,
343,1988,25.0,"0.348,297.44,","59.11,","82.64,",70.87,,,,,,,,,,,,,,,,
344,1988,26.0,"0.339,298.28,","57.31,","79.08,",68.2,,,,,,,,,,,,,,,,
345,1988,27.0,"0.336,299.24,","57.76,","73.83,",65.8,,,,,,,,,,,,,,,,
346,1988,28.0,"0.333,300.03,","58.89,","68.26,",63.58,,,,,,,,,,,,,,,,
347,1988,29.0,"0.327,300.54,","59.08,","64.68,",61.88,,,,,,,,,,,,,,,,
348,1988,30.0,"0.316,300.78,","58.68,","61.41,",60.04,,,,,,,,,,,,,,,,
349,1988,31.0,"0.301,300.85,","58.28,","58.22,",58.25,,,,,,,,,,,,,,,,
350,1988,32.0,"0.281,300.79,","56.01,","56.05,",56.03,,,,,,,,,,,,,,,,
351,1988,33.0,"0.259,300.32,","51.15,","57.74,",54.45,,,,,,,,,,,,,,,,
352,1988,34.0,"0.233,298.80,","43.26,","67.65,",55.45,,,,,,,,,,,,,,,,
353,1988,35.0,"0.212,296.89,","36.96,","77.66,",57.31,,,,,,,,,,,,,,,,
354,1988,36.0,"0.198,294.89,","34.25,","81.32,",57.79,,,,,,,,,,,,,,,,
355,1988,37.0,"0.190,293.22,","34.59,","80.33,",57.46,,,,,,,,,,,,,,,,
356,1988,38.0,"0.189,291.68,","38.89,","80.67,",59.78,,,,,,,,,,,,,,,,
357,1988,39.0,"0.195,290.22,","46.76,","79.47,",63.11,,,,,,,,,,,,,,,,
358,1988,40.0,"0.204,288.83,","55.70,","72.60,",64.15,,,,,,,,,,,,,,,,
359,1988,41.0,"0.201,286.12,","57.99,","73.73,",65.86,,,,,,,,,,,,,,,,
360,1988,42.0,"0.198,283.38,","60.71,","68.79,",64.75,,,,,,,,,,,,,,,,
361,1988,43.0,"0.189,280.46,","60.64,","63.68,",62.16,,,,,,,,,,,,,,,,
362,1988,44.0,"0.172,277.41,","57.28,","58.66,",57.97,,,,,,,,,,,,,,,,
363,1988,45.0,"0.147,275.35,","51.24,","53.21,",52.22,,,,,,,,,,,,,,,,
364,1988,46.0,"0.125,274.31,","45.60,","45.17,",45.38,,,,,,,,,,,,,,,,
365,1988,47.0,"0.104,272.84,","39.97,","41.43,",40.7,,,,,,,,,,,,,,,,
366,1988,48.0,"0.089,271.76,","37.37,","36.69,",37.03,,,,,,,,,,,,,,,,
367,1988,49.0,"0.080,270.71,","36.75,","31.72,",34.23,,,,,,,,,,,,,,,,
368,1988,50.0,"0.073,270.21,","36.30,","26.12,",31.21,,,,,,,,,,,,,,,,
369,1988,51.0,"0.070,270.13,","39.09,","22.55,",30.82,,,,,,,,,,,,,,,,
370,1988,52.0,"0.069,270.37,","40.67,","20.23,",30.45,,,,,,,,,,,,,,,,
371,1989,1.0,"0.069,271.02,","43.22,","18.11,",30.67,,,,,,,,,,,,,,,,
372,1989,2.0,"0.073,272.23,","47.84,","13.18,",30.51,,,,,,,,,,,,,,,,
373,1989,3.0,"0.074,273.30,","48.49,","10.42,",29.46,,,,,,,,,,,,,,,,
374,1989,4.0,"0.076,274.50,","48.86,","9.56,",29.21,,,,,,,,,,,,,,,,
375,1989,5.0,"0.081,275.38,","50.42,","8.99,",29.71,,,,,,,,,,,,,,,,
376,1989,6.0,"0.086,276.81,","51.52,","8.34,",29.93,,,,,,,,,,,,,,,,
377,1989,7.0,"0.093,278.86,","51.28,","7.80,",29.54,,,,,,,,,,,,,,,,
378,1989,8.0,"0.099,280.82,","51.04,","8.25,",29.65,,,,,,,,,,,,,,,,
379,1989,9.0,"0.109,283.01,","52.46,","8.39,",30.43,,,,,,,,,,,,,,,,
380,1989,10.0,"0.126,285.25,","54.42,","8.76,",31.59,,,,,,,,,,,,,,,,
381,1989,11.0,"0.147,287.43,","57.66,","6.10,",31.88,,,,,,,,,,,,,,,,
382,1989,12.0,"0.171,289.52,","61.97,","6.16,",34.06,,,,,,,,,,,,,,,,
383,1989,13.0,"0.199,291.44,","67.18,","6.97,",37.08,,,,,,,,,,,,,,,,
384,1989,14.0,"0.228,293.12,","71.36,","7.71,",39.54,,,,,,,,,,,,,,,,
385,1989,15.0,"0.259,294.54,","74.08,","10.04,",42.06,,,,,,,,,,,,,,,,
386,1989,16.0,"0.291,295.58,","75.78,","16.73,",46.25,,,,,,,,,,,,,,,,
387,1989,17.0,"0.316,296.42,","75.25,","28.52,",51.88,,,,,,,,,,,,,,,,
388,1989,18.0,"0.336,297.27,","73.95,","39.05,",56.5,,,,,,,,,,,,,,,,
389,1989,19.0,"0.346,297.68,","69.35,","51.57,",60.46,,,,,,,,,,,,,,,,
390,1989,20.0,"0.348,298.14,","62.43,","58.85,",60.64,,,,,,,,,,,,,,,,
391,1989,21.0,"0.342,298.86,","54.94,","59.89,",57.42,,,,,,,,,,,,,,,,
392,1989,22.0,"0.329,299.34,","45.84,","60.52,",53.18,,,,,,,,,,,,,,,,
393,1989,23.0,"0.311,299.60,","37.52,","60.68,",49.1,,,,,,,,,,,,,,,,
394,1989,24.0,"0.294,300.13,","30.64,","59.53,",45.09,,,,,,,,,,,,,,,,
395,1989,25.0,"0.281,300.95,","27.00,","57.20,",42.1,,,,,,,,,,,,,,,,
396,1989,26.0,"0.273,301.99,","26.21,","52.44,",39.33,,,,,,,,,,,,,,,,
397,1989,27.0,"0.264,302.86,","25.16,","48.50,",36.83,,,,,,,,,,,,,,,,
398,1989,28.0,"0.252,303.47,","23.66,","44.51,",34.09,,,,,,,,,,,,,,,,
399,1989,29.0,"0.239,303.77,","22.04,","41.74,",31.89,,,,,,,,,,,,,,,,
400,1989,30.0,"0.220,303.95,","19.13,","38.48,",28.81,,,,,,,,,,,,,,,,
401,1989,31.0,"0.205,304.56,","17.20,","30.97,",24.08,,,,,,,,,,,,,,,,
402,1989,32.0,"0.190,304.75,","14.73,","26.07,",20.4,,,,,,,,,,,,,,,,
403,1989,33.0,"0.176,304.03,","11.73,","28.51,",20.12,,,,,,,,,,,,,,,,
404,1989,34.0,"0.166,302.80,","10.07,","34.21,",22.14,,,,,,,,,,,,,,,,
405,1989,35.0,"0.157,300.86,","9.81,","41.97,",25.89,,,,,,,,,,,,,,,,
406,1989,36.0,"0.156,298.28,","12.84,","49.87,",31.35,,,,,,,,,,,,,,,,
407,1989,37.0,"0.160,296.09,","19.18,","53.85,",36.51,,,,,,,,,,,,,,,,
408,1989,38.0,"0.171,293.71,","29.58,","61.59,",45.58,,,,,,,,,,,,,,,,
409,1989,39.0,"0.187,291.81,","42.56,","63.48,",53.02,,,,,,,,,,,,,,,,
410,1989,40.0,"0.209,289.96,","57.51,","60.46,",58.98,,,,,,,,,,,,,,,,
411,1989,41.0,"0.224,288.14,","68.14,","52.12,",60.13,,,,,,,,,,,,,,,,
412,1989,42.0,"0.233,285.85,","75.67,","44.53,",60.1,,,,,,,,,,,,,,,,
413,1989,43.0,"0.239,283.97,","80.74,","35.30,",58.02,,,,,,,,,,,,,,,,
414,1989,44.0,"0.238,282.48,","84.00,","24.57,",54.28,,,,,,,,,,,,,,,,
415,1989,45.0,"0.227,280.13,","84.52,","24.51,",54.51,,,,,,,,,,,,,,,,
416,1989,46.0,"0.210,277.20,","82.81,","28.92,",55.87,,,,,,,,,,,,,,,,
417,1989,47.0,"0.196,275.06,","83.26,","29.60,",56.43,,,,,,,,,,,,,,,,
418,1989,48.0,"0.181,273.38,","84.79,","28.75,",56.77,,,,,,,,,,,,,,,,
419,1989,49.0,"0.167,272.38,","87.66,","24.59,",56.13,,,,,,,,,,,,,,,,
420,1989,50.0,"0.147,270.57,","85.74,","24.88,",55.31,,,,,,,,,,,,,,,,
421,1989,51.0,"0.125,269.54,","79.80,","24.78,",52.29,,,,,,,,,,,,,,,,
422,1989,52.0,"0.111,270.14,","72.20,","21.04,",46.62,,,,,,,,,,,,,,,,
423,1990,1.0,"0.104,270.75,","67.93,","18.92,",43.43,,,,,,,,,,,,,,,,
424,1990,2.0,"0.099,271.63,","65.63,","14.97,",40.3,,,,,,,,,,,,,,,,
425,1990,3.0,"0.100,272.86,","65.44,","11.62,",38.53,,,,,,,,,,,,,,,,
426,1990,4.0,"0.109,274.92,","68.54,","8.35,",38.45,,,,,,,,,,,,,,,,
427,1990,5.0,"0.121,277.52,","73.80,","3.30,",38.55,,,,,,,,,,,,,,,,
428,1990,6.0,"0.137,279.58,","79.92,","0.88,",40.4,,,,,,,,,,,,,,,,
429,1990,7.0,"0.162,281.62,","87.61,","0.28,",43.95,,,,,,,,,,,,,,,,
430,1990,8.0,"0.182,283.78,","91.92,","0.21,",46.07,,,,,,,,,,,,,,,,
431,1990,9.0,"0.197,285.87,","93.11,","0.28,",46.7,,,,,,,,,,,,,,,,
432,1990,10.0,"0.217,288.13,","94.70,","0.24,",47.47,,,,,,,,,,,,,,,,
433,1990,11.0,"0.232,288.69,","95.03,","1.56,",48.29,,,,,,,,,,,,,,,,
434,1990,12.0,"0.248,290.39,","94.57,","2.58,",48.58,,,,,,,,,,,,,,,,
435,1990,13.0,"0.258,292.19,","91.47,","3.81,",47.64,,,,,,,,,,,,,,,,
436,1990,14.0,"0.261,292.74,","84.54,","8.72,",46.63,,,,,,,,,,,,,,,,
437,1990,15.0,"0.267,292.72,","77.43,","18.02,",47.73,,,,,,,,,,,,,,,,
438,1990,16.0,"0.279,292.57,","71.72,","34.39,",53.05,,,,,,,,,,,,,,,,
439,1990,17.0,"0.300,293.19,","69.68,","52.65,",61.16,,,,,,,,,,,,,,,,
440,1990,18.0,"0.327,294.42,","71.08,","62.65,",66.87,,,,,,,,,,,,,,,,
441,1990,19.0,"0.344,295.52,","68.49,","70.57,",69.53,,,,,,,,,,,,,,,,
442,1990,20.0,"0.353,296.37,","64.35,","73.99,",69.17,,,,,,,,,,,,,,,,
443,1990,21.0,"0.345,296.70,","56.52,","77.24,",66.88,,,,,,,,,,,,,,,,
444,1990,22.0,"0.331,297.03,","47.10,","77.83,",62.46,,,,,,,,,,,,,,,,
445,1990,23.0,"0.315,297.46,","40.18,","75.99,",58.08,,,,,,,,,,,,,,,,
446,1990,24.0,"0.303,297.76,","35.80,","76.59,",56.2,,,,,,,,,,,,,,,,
447,1990,25.0,"0.295,298.81,","34.54,","72.66,",53.6,,,,,,,,,,,,,,,,
448,1990,26.0,"0.288,299.87,","33.72,","67.63,",50.67,,,,,,,,,,,,,,,,
449,1990,27.0,"0.281,300.47,","33.30,","65.29,",49.3,,,,,,,,,,,,,,,,
450,1990,28.0,"0.275,300.92,","33.87,","62.26,",48.06,,,,,,,,,,,,,,,,
451,1990,29.0,"0.268,301.25,","34.01,","60.01,",47.01,,,,,,,,,,,,,,,,
452,1990,30.0,"0.257,301.36,","34.13,","57.67,",45.9,,,,,,,,,,,,,,,,
453,1990,31.0,"0.247,301.31,","34.64,","55.21,",44.93,,,,,,,,,,,,,,,,
454,1990,32.0,"0.242,301.20,","37.90,","53.25,",45.58,,,,,,,,,,,,,,,,
455,1990,33.0,"0.240,300.89,","41.93,","53.50,",47.72,,,,,,,,,,,,,,,,
456,1990,34.0,"0.240,300.26,","46.99,","55.74,",51.36,,,,,,,,,,,,,,,,
457,1990,35.0,"0.237,299.32,","50.59,","56.23,",53.41,,,,,,,,,,,,,,,,
458,1990,36.0,"0.233,298.03,","52.79,","53.12,",52.95,,,,,,,,,,,,,,,,
459,1990,37.0,"0.228,296.50,","55.20,","50.77,",52.99,,,,,,,,,,,,,,,,
460,1990,38.0,"0.223,294.93,","57.59,","50.14,",53.86,,,,,,,,,,,,,,,,
461,1990,39.0,"0.222,293.32,","60.87,","48.06,",54.46,,,,,,,,,,,,,,,,
462,1990,40.0,"0.223,291.74,","65.11,","41.69,",53.4,,,,,,,,,,,,,,,,
463,1990,41.0,"0.221,289.92,","67.45,","33.18,",50.31,,,,,,,,,,,,,,,,
464,1990,42.0,"0.214,287.76,","67.79,","25.78,",46.78,,,,,,,,,,,,,,,,
465,1990,43.0,"0.198,284.34,","64.30,","32.18,",48.24,,,,,,,,,,,,,,,,
466,1990,44.0,"0.180,282.05,","60.52,","27.41,",43.97,,,,,,,,,,,,,,,,
467,1990,45.0,"0.163,280.99,","57.97,","19.41,",38.69,,,,,,,,,,,,,,,,
468,1990,46.0,"0.145,278.98,","54.47,","18.97,",36.72,,,,,,,,,,,,,,,,
469,1990,47.0,"0.131,276.78,","52.93,","20.34,",36.64,,,,,,,,,,,,,,,,
470,1990,48.0,"0.116,274.68,","51.34,","22.34,",36.84,,,,,,,,,,,,,,,,
471,1990,49.0,"0.105,272.99,","51.59,","21.91,",36.75,,,,,,,,,,,,,,,,
472,1990,50.0,"0.093,271.02,","49.82,","23.03,",36.42,,,,,,,,,,,,,,,,
473,1990,51.0,"0.083,269.24,","48.03,","25.82,",36.92,,,,,,,,,,,,,,,,
474,1990,52.0,"0.080,267.90,","48.02,","28.34,",38.18,,,,,,,,,,,,,,,,
475,1991,1.0,"0.081,267.65,","50.77,","29.03,",39.9,,,,,,,,,,,,,,,,
476,1991,2.0,"0.080,267.56,","51.47,","28.03,",39.75,,,,,,,,,,,,,,,,
477,1991,3.0,"0.078,267.24,","50.53,","28.21,",39.37,,,,,,,,,,,,,,,,
478,1991,4.0,"0.073,266.11,","46.12,","32.30,",39.21,,,,,,,,,,,,,,,,
479,1991,5.0,"0.067,266.76,","42.11,","31.94,",37.03,,,,,,,,,,,,,,,,
480,1991,6.0,"0.064,268.28,","38.76,","31.48,",35.12,,,,,,,,,,,,,,,,
481,1991,7.0,"0.063,269.66,","35.14,","33.09,",34.12,,,,,,,,,,,,,,,,
482,1991,8.0,"0.069,272.12,","36.24,","32.04,",34.14,,,,,,,,,,,,,,,,
483,1991,9.0,"0.083,275.25,","39.99,","30.46,",35.22,,,,,,,,,,,,,,,,
484,1991,10.0,"0.098,278.75,","41.66,","27.94,",34.8,,,,,,,,,,,,,,,,
485,1991,11.0,"0.108,281.76,","40.68,","23.84,",32.26,,,,,,,,,,,,,,,,
486,1991,12.0,"0.120,285.00,","40.36,","21.04,",30.7,,,,,,,,,,,,,,,,
487,1991,13.0,"0.140,287.90,","42.90,","19.62,",31.26,,,,,,,,,,,,,,,,
488,1991,14.0,"0.160,289.86,","44.72,","20.68,",32.7,,,,,,,,,,,,,,,,
489,1991,15.0,"0.188,291.50,","48.25,","24.53,",36.39,,,,,,,,,,,,,,,,
490,1991,16.0,"0.227,292.94,","53.04,","33.21,",43.12,,,,,,,,,,,,,,,,
491,1991,17.0,"0.263,293.98,","56.54,","47.67,",52.1,,,,,,,,,,,,,,,,
492,1991,18.0,"0.295,295.02,","59.28,","58.37,",58.82,,,,,,,,,,,,,,,,
493,1991,19.0,"0.314,295.24,","57.14,","73.45,",65.29,,,,,,,,,,,,,,,,
494,1991,20.0,"0.331,295.52,","55.39,","81.54,",68.47,,,,,,,,,,,,,,,,
495,1991,21.0,"0.349,296.32,","57.98,","80.73,",69.35,,,,,,,,,,,,,,,,
496,1991,22.0,"0.361,297.32,","61.10,","76.10,",68.6,,,,,,,,,,,,,,,,
497,1991,23.0,"0.365,298.24,","63.59,","70.77,",67.18,,,,,,,,,,,,,,,,
498,1991,24.0,"0.359,298.99,","62.96,","67.96,",65.46,,,,,,,,,,,,,,,,
499,1991,25.0,"0.355,300.18,","63.05,","62.92,",62.98,,,,,,,,,,,,,,,,
500,1991,26.0,"0.346,301.45,","61.23,","56.41,",58.82,,,,,,,,,,,,,,,,
501,1991,27.0,"0.326,301.76,","53.89,","56.31,",55.1,,,,,,,,,,,,,,,,
502,1991,28.0,"0.309,301.81,","48.65,","56.14,",52.4,,,,,,,,,,,,,,,,
503,1991,29.0,"0.298,302.24,","47.05,","52.84,",49.95,,,,,,,,,,,,,,,,
504,1991,30.0,"0.289,302.71,","47.79,","47.61,",47.7,,,,,,,,,,,,,,,,
505,1991,31.0,"0.273,302.42,","46.33,","46.87,",46.6,,,,,,,,,,,,,,,,
506,1991,32.0,"0.253,301.54,","43.09,","50.70,",46.89,,,,,,,,,,,,,,,,
507,1991,33.0,"0.238,300.71,","41.04,","54.94,",47.99,,,,,,,,,,,,,,,,
508,1991,34.0,"0.231,300.15,","42.42,","56.61,",49.51,,,,,,,,,,,,,,,,
509,1991,35.0,"0.221,299.47,","42.36,","54.93,",48.64,,,,,,,,,,,,,,,,
510,1991,36.0,"0.207,298.25,","39.59,","50.83,",45.21,,,,,,,,,,,,,,,,
511,1991,37.0,"0.196,297.07,","38.43,","44.64,",41.53,,,,,,,,,,,,,,,,
512,1991,38.0,"0.190,296.22,","40.47,","36.28,",38.38,,,,,,,,,,,,,,,,
513,1991,39.0,"0.182,294.99,","40.94,","30.12,",35.53,,,,,,,,,,,,,,,,
514,1991,40.0,"0.170,292.87,","39.45,","29.55,",34.5,,,,,,,,,,,,,,,,
515,1991,41.0,"0.156,289.89,","37.43,","33.66,",35.55,,,,,,,,,,,,,,,,
516,1991,42.0,"0.145,286.50,","37.91,","38.28,",38.09,,,,,,,,,,,,,,,,
517,1991,43.0,"0.131,282.74,","36.07,","45.13,",40.6,,,,,,,,,,,,,,,,
518,1991,44.0,"0.106,279.46,","29.48,","44.80,",37.14,,,,,,,,,,,,,,,,
519,1991,45.0,"0.084,276.47,","23.64,","46.44,",35.04,,,,,,,,,,,,,,,,
520,1991,46.0,"0.070,274.26,","20.41,","45.49,",32.95,,,,,,,,,,,,,,,,
521,1991,47.0,"0.061,272.16,","18.51,","45.29,",31.9,,,,,,,,,,,,,,,,
522,1991,48.0,"0.054,270.49,","17.96,","42.96,",30.46,,,,,,,,,,,,,,,,
523,1991,49.0,"0.047,268.98,","16.49,","39.00,",27.74,,,,,,,,,,,,,,,,
524,1991,50.0,"0.047,268.18,","18.51,","34.05,",26.28,,,,,,,,,,,,,,,,
525,1991,51.0,"0.047,268.66,","22.00,","27.81,",24.91,,,,,,,,,,,,,,,,
526,1991,52.0,"0.047,268.87,","23.59,","25.20,",24.4,,,,,,,,,,,,,,,,
527,1992,1.0,"0.048,268.40,","27.71,","26.57,",27.14,,,,,,,,,,,,,,,,
528,1992,2.0,"0.047,267.85,","30.03,","27.03,",28.53,,,,,,,,,,,,,,,,
529,1992,3.0,"0.048,267.36,","31.30,","27.73,",29.52,,,,,,,,,,,,,,,,
530,1992,4.0,"0.048,267.26,","31.14,","29.05,",30.09,,,,,,,,,,,,,,,,
531,1992,5.0,"0.045,266.58,","29.24,","32.29,",30.76,,,,,,,,,,,,,,,,
532,1992,6.0,"0.044,266.33,","27.37,","36.66,",32.02,,,,,,,,,,,,,,,,
533,1992,7.0,"0.045,267.57,","25.92,","38.81,",32.37,,,,,,,,,,,,,,,,
534,1992,8.0,"0.048,270.40,","25.52,","36.77,",31.14,,,,,,,,,,,,,,,,
535,1992,9.0,"0.052,273.70,","25.49,","34.87,",30.18,,,,,,,,,,,,,,,,
536,1992,10.0,"0.057,277.32,","22.80,","31.99,",27.39,,,,,,,,,,,,,,,,
537,1992,11.0,"0.069,280.63,","23.16,","27.30,",25.23,,,,,,,,,,,,,,,,
538,1992,12.0,"0.084,283.97,","24.49,","24.54,",24.51,,,,,,,,,,,,,,,,
539,1992,13.0,"0.100,286.43,","25.98,","24.88,",25.43,,,,,,,,,,,,,,,,
540,1992,14.0,"0.120,288.67,","28.77,","25.24,",27.0,,,,,,,,,,,,,,,,
541,1992,15.0,"0.141,290.90,","30.67,","27.00,",28.83,,,,,,,,,,,,,,,,
542,1992,16.0,"0.166,293.26,","31.45,","30.67,",31.06,,,,,,,,,,,,,,,,
543,1992,17.0,"0.197,295.79,","33.33,","33.00,",33.16,,,,,,,,,,,,,,,,
544,1992,18.0,"0.228,297.46,","35.19,","36.91,",36.05,,,,,,,,,,,,,,,,
545,1992,19.0,"0.247,298.30,","31.26,","45.73,",38.5,,,,,,,,,,,,,,,,
546,1992,20.0,"0.261,298.79,","26.17,","53.06,",39.61,,,,,,,,,,,,,,,,
547,1992,21.0,"0.270,299.07,","21.89,","58.18,",40.03,,,,,,,,,,,,,,,,
548,1992,22.0,"0.270,298.43,","17.28,","67.55,",42.42,,,,,,,,,,,,,,,,
549,1992,23.0,"0.269,297.90,","16.88,","73.12,",45.0,,,,,,,,,,,,,,,,
550,1992,24.0,"0.274,298.13,","20.94,","74.17,",47.55,,,,,,,,,,,,,,,,
551,1992,25.0,"0.278,298.87,","25.93,","72.45,",49.19,,,,,,,,,,,,,,,,
552,1992,26.0,"0.279,299.85,","29.45,","67.85,",48.65,,,,,,,,,,,,,,,,
553,1992,27.0,"0.277,300.89,","31.40,","62.16,",46.78,,,,,,,,,,,,,,,,
554,1992,28.0,"0.270,302.18,","31.93,","53.27,",42.6,,,,,,,,,,,,,,,,
555,1992,29.0,"0.264,303.43,","32.68,","44.01,",38.34,,,,,,,,,,,,,,,,
556,1992,30.0,"0.254,304.59,","33.02,","33.51,",33.27,,,,,,,,,,,,,,,,
557,1992,31.0,"0.240,305.34,","31.98,","24.87,",28.43,,,,,,,,,,,,,,,,
558,1992,32.0,"0.226,305.55,","30.85,","19.76,",25.3,,,,,,,,,,,,,,,,
559,1992,33.0,"0.214,305.54,","29.83,","16.78,",23.31,,,,,,,,,,,,,,,,
560,1992,34.0,"0.201,304.79,","27.87,","17.80,",22.83,,,,,,,,,,,,,,,,
