,Mean,data,for,UKR,Province=,27:,"Zhytomyr,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
279,1987,13.0,"0.087,269.77,","8.30,","96.41,",52.35,,,,,,,,,,,,,,,,
280,1987,14.0,"0.119,274.47,","12.62,","95.30,",53.96,,,,,,,,,,,,,,,,
281,1987,15.0,"0.145,278.51,","12.97,","94.26,",53.62,,,,,,,,,,,,,,,,
282,1987,16.0,"0.168,281.73,","11.87,","91.39,",51.63,,,,,,,,,,,,,,,,
283,1987,17.0,"0.197,284.70,","11.75,","85.50,",48.63,,,,,,,,,,,,,,,,
284,1987,18.0,"0.222,286.58,","8.08,","84.28,",46.18,,,,,,,,,,,,,,,,
285,1987,19.0,"0.258,287.53,","8.22,","88.03,",48.13,,,,,,,,,,,,,,,,
286,1987,20.0,"0.296,289.11,","11.00,","83.11,",47.05,,,,,,,,,,,,,,,,
287,1987,21.0,"0.331,290.66,","16.08,","73.68,",44.88,,,,,,,,,,,,,,,,
288,1987,22.0,"0.363,291.36,","23.33,","69.22,",46.28,,,,,,,,,,,,,,,,
289,1987,23.0,"0.385,291.95,","28.91,","65.59,",47.25,,,,,,,,,,,,,,,,
290,1987,24.0,"0.405,292.96,","35.28,","57.77,",46.52,,,,,,,,,,,,,,,,
291,1987,25.0,"0.426,293.92,","44.46,","50.19,",47.32,,,,,,,,,,,,,,,,
292,1987,26.0,"0.440,294.48,","51.72,","44.73,",48.22,,,,,,,,,,,,,,,,
293,1987,27.0,"0.450,295.23,","56.75,","37.39,",47.07,,,,,,,,,,,,,,,,
294,1987,28.0,"0.443,295.34,","54.98,","39.00,",46.99,,,,,,,,,,,,,,,,
295,1987,29.0,"0.423,295.02,","46.54,","46.42,",46.48,,,,,,,,,,,,,,,,
296,1987,30.0,"0.402,294.45,","38.71,","57.30,",48.01,,,,,,,,,,,,,,,,
297,1987,31.0,"0.385,293.33,","31.88,","70.68,",51.28,,,,,,,,,,,,,,,,
298,1987,32.0,"0.380,292.56,","31.49,","77.74,",54.61,,,,,,,,,,,,,,,,
299,1987,33.0,"0.378,291.82,","33.76,","82.20,",57.98,,,,,,,,,,,,,,,,
300,1987,34.0,"0.373,291.16,","37.97,","81.60,",59.78,,,,,,,,,,,,,,,,
301,1987,35.0,"0.366,290.44,","42.62,","76.76,",59.69,,,,,,,,,,,,,,,,
302,1987,36.0,"0.358,289.47,","48.86,","70.56,",59.71,,,,,,,,,,,,,,,,
303,1987,37.0,"0.345,288.62,","52.58,","64.53,",58.56,,,,,,,,,,,,,,,,
304,1987,38.0,"0.323,287.32,","51.03,","65.49,",58.26,,,,,,,,,,,,,,,,
305,1987,39.0,"0.299,286.03,","49.48,","61.20,",55.34,,,,,,,,,,,,,,,,
306,1987,40.0,"0.279,285.04,","49.26,","48.40,",48.83,,,,,,,,,,,,,,,,
307,1987,41.0,"0.254,282.99,","46.77,","47.56,",47.16,,,,,,,,,,,,,,,,
308,1987,42.0,"0.224,280.47,","42.45,","52.87,",47.66,,,,,,,,,,,,,,,,
309,1987,43.0,"0.186,277.61,","34.81,","61.62,",48.22,,,,,,,,,,,,,,,,
310,1987,44.0,"0.152,274.36,","28.81,","64.97,",46.89,,,,,,,,,,,,,,,,
311,1987,45.0,"0.116,271.33,","18.00,","62.89,",40.44,,,,,,,,,,,,,,,,
312,1987,46.0,"0.087,268.48,","10.71,","60.29,",35.5,,,,,,,,,,,,,,,,
313,1987,47.0,"0.069,266.57,","9.06,","56.52,",32.79,,,,,,,,,,,,,,,,
314,1987,48.0,"0.056,265.43,","9.46,","52.57,",31.01,,,,,,,,,,,,,,,,
315,1987,49.0,"0.053,264.31,","11.61,","50.27,",30.94,,,,,,,,,,,,,,,,
316,1987,50.0,"0.052,263.86,","14.08,","44.86,",29.47,,,,,,,,,,,,,,,,
317,1987,51.0,"0.050,262.86,","15.68,","42.18,",28.93,,,,,,,,,,,,,,,,
318,1987,52.0,"0.050,262.48,","19.09,","39.50,",29.29,,,,,,,,,,,,,,,,
319,1988,1.0,"0.053,262.60,","25.90,","37.48,",31.69,,,,,,,,,,,,,,,,
320,1988,2.0,"0.053,262.17,","26.78,","41.85,",34.32,,,,,,,,,,,,,,,,
321,1988,3.0,"0.054,262.31,","29.10,","43.53,",36.31,,,,,,,,,,,,,,,,
322,1988,4.0,"0.055,262.73,","30.22,","44.27,",37.25,,,,,,,,,,,,,,,,
323,1988,5.0,"0.056,263.05,","29.42,","47.58,",38.5,,,,,,,,,,,,,,,,
324,1988,6.0,"0.058,263.91,","26.60,","49.97,",38.29,,,,,,,,,,,,,,,,
325,1988,7.0,"0.057,264.38,","23.15,","53.31,",38.23,,,,,,,,,,,,,,,,
326,1988,8.0,"0.055,264.56,","20.39,","58.99,",39.69,,,,,,,,,,,,,,,,
327,1988,9.0,"0.056,264.92,","19.06,","64.19,",41.63,,,,,,,,,,,,,,,,
328,1988,10.0,"0.060,265.91,","17.42,","68.48,",42.95,,,,,,,,,,,,,,,,
329,1988,11.0,"0.067,267.99,","15.29,","68.90,",42.1,,,,,,,,,,,,,,,,
330,1988,12.0,"0.076,270.55,","13.03,","72.40,",42.72,,,,,,,,,,,,,,,,
331,1988,13.0,"0.091,274.19,","10.81,","71.57,",41.19,,,,,,,,,,,,,,,,
332,1988,14.0,"0.115,277.89,","11.02,","71.14,",41.08,,,,,,,,,,,,,,,,
333,1988,15.0,"0.144,280.53,","12.78,","75.98,",44.38,,,,,,,,,,,,,,,,
334,1988,16.0,"0.174,282.94,","15.34,","78.27,",46.8,,,,,,,,,,,,,,,,
335,1988,17.0,"0.204,284.85,","16.04,","81.33,",48.68,,,,,,,,,,,,,,,,
336,1988,18.0,"0.236,286.94,","15.58,","79.09,",47.33,,,,,,,,,,,,,,,,
337,1988,19.0,"0.271,289.07,","16.01,","71.66,",43.84,,,,,,,,,,,,,,,,
338,1988,20.0,"0.308,290.91,","18.49,","64.20,",41.35,,,,,,,,,,,,,,,,
339,1988,21.0,"0.334,291.62,","19.20,","63.92,",41.56,,,,,,,,,,,,,,,,
340,1988,22.0,"0.353,291.90,","20.08,","63.91,",41.99,,,,,,,,,,,,,,,,
341,1988,23.0,"0.369,292.14,","21.75,","63.64,",42.69,,,,,,,,,,,,,,,,
342,1988,24.0,"0.385,292.59,","25.12,","61.50,",43.31,,,,,,,,,,,,,,,,
343,1988,25.0,"0.396,292.90,","27.53,","61.42,",44.48,,,,,,,,,,,,,,,,
344,1988,26.0,"0.410,293.54,","33.67,","55.84,",44.76,,,,,,,,,,,,,,,,
345,1988,27.0,"0.424,294.20,","41.13,","50.23,",45.68,,,,,,,,,,,,,,,,
346,1988,28.0,"0.436,294.60,","51.24,","48.69,",49.97,,,,,,,,,,,,,,,,
347,1988,29.0,"0.441,294.65,","58.22,","51.49,",54.85,,,,,,,,,,,,,,,,
348,1988,30.0,"0.437,294.43,","60.08,","57.87,",58.97,,,,,,,,,,,,,,,,
349,1988,31.0,"0.429,293.95,","58.33,","63.34,",60.84,,,,,,,,,,,,,,,,
350,1988,32.0,"0.425,293.93,","59.46,","60.98,",60.22,,,,,,,,,,,,,,,,
351,1988,33.0,"0.419,293.96,","60.30,","54.59,",57.44,,,,,,,,,,,,,,,,
352,1988,34.0,"0.399,293.05,","54.72,","55.77,",55.24,,,,,,,,,,,,,,,,
353,1988,35.0,"0.378,291.97,","50.36,","55.45,",52.9,,,,,,,,,,,,,,,,
354,1988,36.0,"0.358,290.74,","49.75,","53.94,",51.84,,,,,,,,,,,,,,,,
355,1988,37.0,"0.335,289.42,","48.07,","54.15,",51.11,,,,,,,,,,,,,,,,
356,1988,38.0,"0.309,288.08,","44.57,","55.04,",49.81,,,,,,,,,,,,,,,,
357,1988,39.0,"0.291,286.77,","45.57,","50.91,",48.24,,,,,,,,,,,,,,,,
358,1988,40.0,"0.279,285.60,","49.06,","41.00,",45.03,,,,,,,,,,,,,,,,
359,1988,41.0,"0.261,282.72,","50.05,","50.59,",50.32,,,,,,,,,,,,,,,,
360,1988,42.0,"0.240,280.43,","52.16,","52.95,",52.56,,,,,,,,,,,,,,,,
361,1988,43.0,"0.211,277.48,","49.80,","62.46,",56.13,,,,,,,,,,,,,,,,
362,1988,44.0,"0.177,274.03,","43.90,","67.53,",55.72,,,,,,,,,,,,,,,,
363,1988,45.0,"0.148,271.25,","39.03,","63.17,",51.1,,,,,,,,,,,,,,,,
364,1988,46.0,"0.123,269.00,","36.36,","56.47,",46.42,,,,,,,,,,,,,,,,
365,1988,47.0,"0.100,266.73,","33.63,","55.00,",44.32,,,,,,,,,,,,,,,,
366,1988,48.0,"0.085,265.01,","32.28,","54.13,",43.21,,,,,,,,,,,,,,,,
367,1988,49.0,"0.074,263.41,","28.90,","53.71,",41.31,,,,,,,,,,,,,,,,
368,1988,50.0,"0.065,262.91,","24.86,","48.45,",36.66,,,,,,,,,,,,,,,,
369,1988,51.0,"0.065,263.40,","27.83,","39.34,",33.58,,,,,,,,,,,,,,,,
370,1988,52.0,"0.068,264.44,","34.29,","30.54,",32.41,,,,,,,,,,,,,,,,
371,1989,1.0,"0.073,266.16,","45.68,","20.96,",33.32,,,,,,,,,,,,,,,,
372,1989,2.0,"0.079,267.82,","51.27,","14.83,",33.05,,,,,,,,,,,,,,,,
373,1989,3.0,"0.084,269.75,","57.10,","8.19,",32.65,,,,,,,,,,,,,,,,
374,1989,4.0,"0.088,271.57,","59.96,","4.50,",32.23,,,,,,,,,,,,,,,,
375,1989,5.0,"0.094,272.73,","58.27,","5.33,",31.8,,,,,,,,,,,,,,,,
376,1989,6.0,"0.100,273.61,","55.44,","8.03,",31.74,,,,,,,,,,,,,,,,
377,1989,7.0,"0.105,274.61,","53.38,","9.05,",31.22,,,,,,,,,,,,,,,,
378,1989,8.0,"0.116,276.49,","55.63,","7.29,",31.46,,,,,,,,,,,,,,,,
379,1989,9.0,"0.124,278.27,","56.34,","6.63,",31.49,,,,,,,,,,,,,,,,
380,1989,10.0,"0.132,279.37,","55.84,","9.62,",32.73,,,,,,,,,,,,,,,,
381,1989,11.0,"0.141,280.64,","53.81,","10.08,",31.95,,,,,,,,,,,,,,,,
382,1989,12.0,"0.159,282.02,","54.93,","16.74,",35.84,,,,,,,,,,,,,,,,
383,1989,13.0,"0.181,283.53,","57.52,","20.26,",38.89,,,,,,,,,,,,,,,,
384,1989,14.0,"0.211,285.61,","61.98,","18.32,",40.15,,,,,,,,,,,,,,,,
385,1989,15.0,"0.239,287.59,","64.18,","18.20,",41.19,,,,,,,,,,,,,,,,
386,1989,16.0,"0.268,289.29,","64.28,","21.17,",42.73,,,,,,,,,,,,,,,,
387,1989,17.0,"0.299,290.53,","63.64,","26.91,",45.27,,,,,,,,,,,,,,,,
388,1989,18.0,"0.336,291.56,","65.02,","31.92,",48.47,,,,,,,,,,,,,,,,
389,1989,19.0,"0.371,292.28,","66.00,","38.06,",52.03,,,,,,,,,,,,,,,,
390,1989,20.0,"0.398,292.46,","65.20,","48.01,",56.61,,,,,,,,,,,,,,,,
391,1989,21.0,"0.419,293.23,","63.84,","47.42,",55.63,,,,,,,,,,,,,,,,
392,1989,22.0,"0.427,293.51,","59.70,","47.94,",53.82,,,,,,,,,,,,,,,,
393,1989,23.0,"0.430,293.42,","54.34,","51.10,",52.72,,,,,,,,,,,,,,,,
394,1989,24.0,"0.434,293.81,","51.65,","49.06,",50.35,,,,,,,,,,,,,,,,
395,1989,25.0,"0.438,294.05,","50.37,","48.83,",49.6,,,,,,,,,,,,,,,,
396,1989,26.0,"0.446,294.53,","53.86,","44.30,",49.08,,,,,,,,,,,,,,,,
397,1989,27.0,"0.445,294.86,","52.99,","42.12,",47.55,,,,,,,,,,,,,,,,
398,1989,28.0,"0.430,294.76,","46.34,","46.63,",46.49,,,,,,,,,,,,,,,,
399,1989,29.0,"0.410,294.62,","38.62,","51.91,",45.26,,,,,,,,,,,,,,,,
400,1989,30.0,"0.395,294.41,","35.18,","58.05,",46.61,,,,,,,,,,,,,,,,
401,1989,31.0,"0.391,294.49,","35.30,","56.57,",45.93,,,,,,,,,,,,,,,,
402,1989,32.0,"0.391,294.70,","38.24,","51.57,",44.9,,,,,,,,,,,,,,,,
403,1989,33.0,"0.387,294.18,","40.27,","52.39,",46.33,,,,,,,,,,,,,,,,
404,1989,34.0,"0.383,293.48,","44.64,","50.54,",47.59,,,,,,,,,,,,,,,,
405,1989,35.0,"0.373,292.35,","47.27,","51.02,",49.14,,,,,,,,,,,,,,,,
406,1989,36.0,"0.362,291.42,","51.62,","45.71,",48.67,,,,,,,,,,,,,,,,
407,1989,37.0,"0.344,290.54,","52.59,","40.51,",46.55,,,,,,,,,,,,,,,,
408,1989,38.0,"0.326,289.10,","53.13,","41.76,",47.44,,,,,,,,,,,,,,,,
409,1989,39.0,"0.316,287.88,","58.36,","35.63,",47.0,,,,,,,,,,,,,,,,
410,1989,40.0,"0.300,286.57,","60.81,","28.29,",44.55,,,,,,,,,,,,,,,,
411,1989,41.0,"0.270,284.66,","56.17,","26.69,",41.43,,,,,,,,,,,,,,,,
412,1989,42.0,"0.244,282.77,","55.34,","26.31,",40.82,,,,,,,,,,,,,,,,
413,1989,43.0,"0.220,280.86,","55.57,","29.00,",42.28,,,,,,,,,,,,,,,,
414,1989,44.0,"0.199,278.95,","58.07,","22.28,",40.17,,,,,,,,,,,,,,,,
415,1989,45.0,"0.166,276.91,","51.75,","19.35,",35.55,,,,,,,,,,,,,,,,
416,1989,46.0,"0.133,273.82,","43.98,","25.68,",34.83,,,,,,,,,,,,,,,,
417,1989,47.0,"0.109,271.17,","41.18,","30.34,",35.76,,,,,,,,,,,,,,,,
418,1989,48.0,"0.093,269.04,","38.99,","34.28,",36.64,,,,,,,,,,,,,,,,
419,1989,49.0,"0.086,267.96,","38.91,","33.15,",36.03,,,,,,,,,,,,,,,,
420,1989,50.0,"0.079,266.73,","36.27,","31.69,",33.98,,,,,,,,,,,,,,,,
421,1989,51.0,"0.080,266.61,","40.97,","25.15,",33.06,,,,,,,,,,,,,,,,
422,1989,52.0,"0.090,267.92,","54.39,","15.45,",34.92,,,,,,,,,,,,,,,,
423,1990,1.0,"0.096,268.85,","69.32,","8.90,",39.11,,,,,,,,,,,,,,,,
424,1990,2.0,"0.101,269.81,","73.80,","5.49,",39.64,,,,,,,,,,,,,,,,
425,1990,3.0,"0.104,270.29,","77.10,","4.58,",40.84,,,,,,,,,,,,,,,,
426,1990,4.0,"0.112,271.35,","80.96,","2.97,",41.96,,,,,,,,,,,,,,,,
427,1990,5.0,"0.123,272.96,","81.53,","2.55,",42.04,,,,,,,,,,,,,,,,
428,1990,6.0,"0.137,275.25,","82.07,","0.91,",41.49,,,,,,,,,,,,,,,,
429,1990,7.0,"0.151,276.58,","82.86,","0.70,",41.78,,,,,,,,,,,,,,,,
430,1990,8.0,"0.168,278.01,","86.03,","0.54,",43.29,,,,,,,,,,,,,,,,
431,1990,9.0,"0.181,279.57,","88.21,","0.45,",44.33,,,,,,,,,,,,,,,,
432,1990,10.0,"0.194,281.44,","89.88,","0.27,",45.07,,,,,,,,,,,,,,,,
433,1990,11.0,"0.209,282.52,","89.23,","0.82,",45.03,,,,,,,,,,,,,,,,
434,1990,12.0,"0.224,285.28,","88.99,","0.42,",44.71,,,,,,,,,,,,,,,,
435,1990,13.0,"0.233,286.99,","84.66,","0.68,",42.67,,,,,,,,,,,,,,,,
436,1990,14.0,"0.241,287.71,","78.11,","3.45,",40.78,,,,,,,,,,,,,,,,
437,1990,15.0,"0.254,288.08,","72.41,","13.86,",43.13,,,,,,,,,,,,,,,,
438,1990,16.0,"0.268,287.85,","64.38,","34.34,",49.36,,,,,,,,,,,,,,,,
439,1990,17.0,"0.293,288.13,","60.89,","50.64,",55.76,,,,,,,,,,,,,,,,
440,1990,18.0,"0.325,288.80,","59.56,","60.66,",60.11,,,,,,,,,,,,,,,,
441,1990,19.0,"0.348,289.33,","55.01,","68.86,",61.94,,,,,,,,,,,,,,,,
442,1990,20.0,"0.364,289.66,","47.58,","76.98,",62.28,,,,,,,,,,,,,,,,
443,1990,21.0,"0.371,289.66,","38.20,","83.11,",60.66,,,,,,,,,,,,,,,,
444,1990,22.0,"0.377,289.93,","31.89,","82.78,",57.34,,,,,,,,,,,,,,,,
445,1990,23.0,"0.385,290.57,","29.11,","78.82,",53.96,,,,,,,,,,,,,,,,
446,1990,24.0,"0.395,291.46,","29.36,","73.07,",51.21,,,,,,,,,,,,,,,,
447,1990,25.0,"0.405,292.74,","31.07,","63.18,",47.12,,,,,,,,,,,,,,,,
448,1990,26.0,"0.406,293.30,","30.12,","58.26,",44.19,,,,,,,,,,,,,,,,
449,1990,27.0,"0.404,293.42,","28.36,","59.38,",43.87,,,,,,,,,,,,,,,,
450,1990,28.0,"0.405,293.52,","31.49,","62.47,",46.98,,,,,,,,,,,,,,,,
451,1990,29.0,"0.400,293.48,","32.92,","66.80,",49.86,,,,,,,,,,,,,,,,
452,1990,30.0,"0.394,293.44,","34.51,","70.19,",52.35,,,,,,,,,,,,,,,,
453,1990,31.0,"0.389,293.65,","34.27,","66.79,",50.53,,,,,,,,,,,,,,,,
454,1990,32.0,"0.378,293.67,","30.90,","64.13,",47.52,,,,,,,,,,,,,,,,
455,1990,33.0,"0.368,293.21,","28.59,","64.58,",46.59,,,,,,,,,,,,,,,,
456,1990,34.0,"0.350,292.12,","25.37,","68.81,",47.09,,,,,,,,,,,,,,,,
457,1990,35.0,"0.327,290.62,","22.35,","74.37,",48.36,,,,,,,,,,,,,,,,
458,1990,36.0,"0.301,288.75,","21.24,","79.33,",50.28,,,,,,,,,,,,,,,,
459,1990,37.0,"0.281,287.33,","21.79,","80.06,",50.92,,,,,,,,,,,,,,,,
460,1990,38.0,"0.271,286.53,","25.92,","75.80,",50.86,,,,,,,,,,,,,,,,
461,1990,39.0,"0.260,285.66,","30.06,","66.78,",48.42,,,,,,,,,,,,,,,,
462,1990,40.0,"0.244,284.54,","30.68,","55.43,",43.06,,,,,,,,,,,,,,,,
463,1990,41.0,"0.231,283.47,","32.77,","41.75,",37.26,,,,,,,,,,,,,,,,
464,1990,42.0,"0.206,281.97,","31.17,","35.47,",33.32,,,,,,,,,,,,,,,,
465,1990,43.0,"0.170,278.58,","24.49,","51.62,",38.05,,,,,,,,,,,,,,,,
466,1990,44.0,"0.138,275.52,","20.32,","54.21,",37.26,,,,,,,,,,,,,,,,
467,1990,45.0,"0.115,273.79,","17.65,","43.66,",30.66,,,,,,,,,,,,,,,,
468,1990,46.0,"0.105,272.00,","23.24,","37.12,",30.18,,,,,,,,,,,,,,,,
469,1990,47.0,"0.097,270.25,","30.69,","35.02,",32.86,,,,,,,,,,,,,,,,
470,1990,48.0,"0.084,268.14,","31.93,","38.36,",35.15,,,,,,,,,,,,,,,,
471,1990,49.0,"0.075,265.95,","29.35,","41.92,",35.64,,,,,,,,,,,,,,,,
472,1990,50.0,"0.073,264.75,","31.10,","40.10,",35.6,,,,,,,,,,,,,,,,
473,1990,51.0,"0.076,264.27,","37.55,","35.17,",36.36,,,,,,,,,,,,,,,,
474,1990,52.0,"0.079,264.30,","44.44,","30.70,",37.57,,,,,,,,,,,,,,,,
475,1991,1.0,"0.087,264.87,","59.62,","26.41,",43.01,,,,,,,,,,,,,,,,
476,1991,2.0,"0.095,265.56,","67.98,","25.21,",46.6,,,,,,,,,,,,,,,,
477,1991,3.0,"0.097,265.78,","69.68,","26.16,",47.92,,,,,,,,,,,,,,,,
478,1991,4.0,"0.089,264.24,","60.14,","36.70,",48.42,,,,,,,,,,,,,,,,
479,1991,5.0,"0.077,263.97,","45.15,","43.17,",44.16,,,,,,,,,,,,,,,,
480,1991,6.0,"0.069,264.87,","34.06,","45.63,",39.84,,,,,,,,,,,,,,,,
481,1991,7.0,"0.063,265.78,","26.66,","47.42,",37.04,,,,,,,,,,,,,,,,
482,1991,8.0,"0.060,267.16,","22.64,","47.76,",35.2,,,,,,,,,,,,,,,,
483,1991,9.0,"0.058,268.38,","19.74,","49.16,",34.45,,,,,,,,,,,,,,,,
484,1991,10.0,"0.060,270.25,","17.10,","49.84,",33.47,,,,,,,,,,,,,,,,
485,1991,11.0,"0.070,273.11,","16.33,","45.52,",30.93,,,,,,,,,,,,,,,,
486,1991,12.0,"0.083,276.01,","16.00,","46.47,",31.23,,,,,,,,,,,,,,,,
487,1991,13.0,"0.095,278.40,","12.75,","49.19,",30.97,,,,,,,,,,,,,,,,
488,1991,14.0,"0.107,280.17,","7.11,","57.04,",32.07,,,,,,,,,,,,,,,,
489,1991,15.0,"0.130,282.10,","5.59,","65.14,",35.36,,,,,,,,,,,,,,,,
490,1991,16.0,"0.154,283.75,","5.84,","72.74,",39.29,,,,,,,,,,,,,,,,
491,1991,17.0,"0.185,285.02,","7.00,","81.58,",44.29,,,,,,,,,,,,,,,,
492,1991,18.0,"0.228,286.34,","11.76,","85.82,",48.79,,,,,,,,,,,,,,,,
493,1991,19.0,"0.271,287.56,","16.00,","87.02,",51.51,,,,,,,,,,,,,,,,
494,1991,20.0,"0.310,288.57,","19.74,","88.39,",54.07,,,,,,,,,,,,,,,,
495,1991,21.0,"0.341,289.36,","22.53,","86.61,",54.57,,,,,,,,,,,,,,,,
496,1991,22.0,"0.370,290.01,","28.17,","82.47,",55.32,,,,,,,,,,,,,,,,
497,1991,23.0,"0.400,291.10,","38.21,","74.14,",56.18,,,,,,,,,,,,,,,,
498,1991,24.0,"0.427,292.89,","48.26,","58.74,",53.5,,,,,,,,,,,,,,,,
499,1991,25.0,"0.448,294.36,","57.94,","45.38,",51.66,,,,,,,,,,,,,,,,
500,1991,26.0,"0.457,294.97,","62.47,","39.12,",50.79,,,,,,,,,,,,,,,,
501,1991,27.0,"0.452,294.71,","59.14,","43.57,",51.35,,,,,,,,,,,,,,,,
502,1991,28.0,"0.446,294.45,","57.87,","50.25,",54.06,,,,,,,,,,,,,,,,
503,1991,29.0,"0.435,294.08,","54.81,","58.64,",56.72,,,,,,,,,,,,,,,,
504,1991,30.0,"0.427,293.83,","54.37,","65.11,",59.74,,,,,,,,,,,,,,,,
505,1991,31.0,"0.419,293.66,","52.45,","66.65,",59.55,,,,,,,,,,,,,,,,
506,1991,32.0,"0.408,293.42,","49.32,","67.26,",58.29,,,,,,,,,,,,,,,,
507,1991,33.0,"0.400,293.11,","48.44,","65.68,",57.06,,,,,,,,,,,,,,,,
508,1991,34.0,"0.396,292.89,","52.46,","57.80,",55.13,,,,,,,,,,,,,,,,
509,1991,35.0,"0.386,292.44,","55.07,","48.91,",51.99,,,,,,,,,,,,,,,,
510,1991,36.0,"0.370,291.43,","55.98,","45.25,",50.62,,,,,,,,,,,,,,,,
511,1991,37.0,"0.355,290.60,","58.14,","39.64,",48.89,,,,,,,,,,,,,,,,
512,1991,38.0,"0.345,290.23,","62.46,","27.18,",44.82,,,,,,,,,,,,,,,,
513,1991,39.0,"0.327,289.15,","63.90,","18.42,",41.16,,,,,,,,,,,,,,,,
514,1991,40.0,"0.300,287.46,","60.83,","16.85,",38.84,,,,,,,,,,,,,,,,
515,1991,41.0,"0.268,285.01,","54.46,","22.41,",38.43,,,,,,,,,,,,,,,,
516,1991,42.0,"0.234,281.77,","48.32,","37.18,",42.75,,,,,,,,,,,,,,,,
517,1991,43.0,"0.196,278.25,","41.05,","54.05,",47.55,,,,,,,,,,,,,,,,
518,1991,44.0,"0.153,274.63,","29.90,","61.93,",45.92,,,,,,,,,,,,,,,,
519,1991,45.0,"0.119,271.59,","21.21,","60.85,",41.03,,,,,,,,,,,,,,,,
520,1991,46.0,"0.100,269.85,","21.25,","51.77,",36.51,,,,,,,,,,,,,,,,
521,1991,47.0,"0.089,268.27,","26.72,","47.38,",37.05,,,,,,,,,,,,,,,,
522,1991,48.0,"0.081,266.83,","30.70,","45.70,",38.2,,,,,,,,,,,,,,,,
523,1991,49.0,"0.071,265.21,","27.67,","45.95,",36.81,,,,,,,,,,,,,,,,
524,1991,50.0,"0.071,264.84,","31.04,","40.28,",35.66,,,,,,,,,,,,,,,,
525,1991,51.0,"0.074,265.41,","36.53,","30.79,",33.66,,,,,,,,,,,,,,,,
526,1991,52.0,"0.073,266.00,","39.59,","24.11,",31.85,,,,,,,,,,,,,,,,
527,1992,1.0,"0.076,266.41,","48.66,","20.14,",34.4,,,,,,,,,,,,,,,,
528,1992,2.0,"0.079,266.90,","52.37,","19.48,",35.93,,,,,,,,,,,,,,,,
529,1992,3.0,"0.084,267.37,","57.45,","18.82,",38.14,,,,,,,,,,,,,,,,
530,1992,4.0,"0.087,267.93,","58.76,","19.15,",38.96,,,,,,,,,,,,,,,,
531,1992,5.0,"0.086,267.53,","52.01,","26.92,",39.47,,,,,,,,,,,,,,,,
532,1992,6.0,"0.085,267.75,","45.27,","33.12,",39.19,,,,,,,,,,,,,,,,
533,1992,7.0,"0.089,269.48,","43.14,","31.30,",37.22,,,,,,,,,,,,,,,,
534,1992,8.0,"0.097,271.46,","44.42,","29.11,",36.76,,,,,,,,,,,,,,,,
535,1992,9.0,"0.107,273.76,","46.85,","25.74,",36.29,,,,,,,,,,,,,,,,
536,1992,10.0,"0.113,275.68,","46.00,","25.65,",35.82,,,,,,,,,,,,,,,,
537,1992,11.0,"0.120,277.60,","42.76,","23.93,",33.35,,,,,,,,,,,,,,,,
538,1992,12.0,"0.126,278.98,","38.17,","31.44,",34.8,,,,,,,,,,,,,,,,
539,1992,13.0,"0.137,280.20,","33.95,","38.48,",36.22,,,,,,,,,,,,,,,,
540,1992,14.0,"0.156,281.95,","32.33,","43.61,",37.97,,,,,,,,,,,,,,,,
541,1992,15.0,"0.184,283.73,","34.18,","50.79,",42.49,,,,,,,,,,,,,,,,
542,1992,16.0,"0.218,285.53,","38.50,","56.51,",47.51,,,,,,,,,,,,,,,,
543,1992,17.0,"0.257,287.37,","42.64,","59.25,",50.95,,,,,,,,,,,,,,,,
544,1992,18.0,"0.292,288.73,","43.34,","62.27,",52.8,,,,,,,,,,,,,,,,
545,1992,19.0,"0.322,289.82,","41.02,","64.45,",52.74,,,,,,,,,,,,,,,,
546,1992,20.0,"0.344,290.77,","36.30,","66.43,",51.37,,,,,,,,,,,,,,,,
547,1992,21.0,"0.362,291.57,","32.89,","64.92,",48.9,,,,,,,,,,,,,,,,
548,1992,22.0,"0.379,292.28,","32.63,","60.56,",46.59,,,,,,,,,,,,,,,,
549,1992,23.0,"0.395,292.99,","34.67,","55.57,",45.12,,,,,,,,,,,,,,,,
550,1992,24.0,"0.415,293.79,","40.66,","49.28,",44.97,,,,,,,,,,,,,,,,
551,1992,25.0,"0.432,294.51,","47.56,","43.71,",45.64,,,,,,,,,,,,,,,,
552,1992,26.0,"0.442,295.19,","52.12,","36.49,",44.3,,,,,,,,,,,,,,,,
553,1992,27.0,"0.447,295.90,","54.33,","29.27,",41.8,,,,,,,,,,,,,,,,
554,1992,28.0,"0.446,296.61,","56.18,","22.42,",39.3,,,,,,,,,,,,,,,,
555,1992,29.0,"0.437,297.27,","55.01,","16.24,",35.63,,,,,,,,,,,,,,,,
556,1992,30.0,"0.425,297.83,","51.63,","13.96,",32.8,,,,,,,,,,,,,,,,
557,1992,31.0,"0.410,298.19,","46.02,","10.51,",28.27,,,,,,,,,,,,,,,,
558,1992,32.0,"0.398,298.13,","41.56,","8.63,",25.1,,,,,,,,,,,,,,,,
559,1992,33.0,"0.378,297.56,","33.67,","8.70,",21.18,,,,,,,,,,,,,,,,
560,1992,34.0,"0.353,296.25,","26.24,","12.73,",19.48,,,,,,,,,,,,,,,,
