,Mean,data,for,UKR,Province=,18:,"Poltava,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
279,1987,13.0,"0.026,266.85,","0.12,","94.13,",47.13,,,,,,,,,,,,,,,,
280,1987,14.0,"0.038,270.15,","0.09,","97.79,",48.94,,,,,,,,,,,,,,,,
281,1987,15.0,"0.056,274.16,","0.25,","98.97,",49.61,,,,,,,,,,,,,,,,
282,1987,16.0,"0.079,278.25,","0.57,","98.10,",49.33,,,,,,,,,,,,,,,,
283,1987,17.0,"0.108,283.01,","1.01,","93.84,",47.43,,,,,,,,,,,,,,,,
284,1987,18.0,"0.139,287.03,","1.12,","88.83,",44.98,,,,,,,,,,,,,,,,
285,1987,19.0,"0.183,289.82,","1.91,","86.58,",44.24,,,,,,,,,,,,,,,,
286,1987,20.0,"0.230,292.05,","3.25,","82.51,",42.88,,,,,,,,,,,,,,,,
287,1987,21.0,"0.270,293.85,","4.91,","75.56,",40.23,,,,,,,,,,,,,,,,
288,1987,22.0,"0.310,295.14,","8.26,","66.97,",37.61,,,,,,,,,,,,,,,,
289,1987,23.0,"0.341,295.77,","11.89,","64.53,",38.21,,,,,,,,,,,,,,,,
290,1987,24.0,"0.372,296.55,","20.10,","59.57,",39.83,,,,,,,,,,,,,,,,
291,1987,25.0,"0.401,297.09,","36.52,","55.90,",46.21,,,,,,,,,,,,,,,,
292,1987,26.0,"0.425,297.44,","52.00,","53.27,",52.64,,,,,,,,,,,,,,,,
293,1987,27.0,"0.435,297.46,","59.48,","53.24,",56.36,,,,,,,,,,,,,,,,
294,1987,28.0,"0.435,297.56,","62.06,","53.04,",57.55,,,,,,,,,,,,,,,,
295,1987,29.0,"0.428,297.45,","62.20,","57.56,",59.88,,,,,,,,,,,,,,,,
296,1987,30.0,"0.419,297.09,","62.25,","65.63,",63.94,,,,,,,,,,,,,,,,
297,1987,31.0,"0.403,296.05,","59.37,","78.19,",68.78,,,,,,,,,,,,,,,,
298,1987,32.0,"0.391,295.31,","59.15,","83.97,",71.56,,,,,,,,,,,,,,,,
299,1987,33.0,"0.380,294.75,","61.11,","85.84,",73.48,,,,,,,,,,,,,,,,
300,1987,34.0,"0.366,294.00,","62.12,","85.96,",74.04,,,,,,,,,,,,,,,,
301,1987,35.0,"0.351,293.08,","63.92,","84.68,",74.3,,,,,,,,,,,,,,,,
302,1987,36.0,"0.331,291.78,","62.97,","83.12,",73.04,,,,,,,,,,,,,,,,
303,1987,37.0,"0.308,290.18,","61.43,","82.75,",72.09,,,,,,,,,,,,,,,,
304,1987,38.0,"0.287,288.78,","60.36,","81.34,",70.85,,,,,,,,,,,,,,,,
305,1987,39.0,"0.267,287.26,","60.11,","76.25,",68.18,,,,,,,,,,,,,,,,
306,1987,40.0,"0.245,285.61,","59.92,","68.16,",64.04,,,,,,,,,,,,,,,,
307,1987,41.0,"0.223,283.47,","60.79,","63.13,",61.96,,,,,,,,,,,,,,,,
308,1987,42.0,"0.201,280.71,","61.81,","64.02,",62.91,,,,,,,,,,,,,,,,
309,1987,43.0,"0.173,277.53,","60.09,","65.15,",62.62,,,,,,,,,,,,,,,,
310,1987,44.0,"0.140,273.38,","53.55,","67.73,",60.64,,,,,,,,,,,,,,,,
311,1987,45.0,"0.111,269.67,","44.88,","68.11,",56.49,,,,,,,,,,,,,,,,
312,1987,46.0,"0.089,266.81,","39.03,","65.52,",52.27,,,,,,,,,,,,,,,,
313,1987,47.0,"0.074,264.29,","36.41,","63.03,",49.72,,,,,,,,,,,,,,,,
314,1987,48.0,"0.063,262.06,","35.14,","63.14,",49.14,,,,,,,,,,,,,,,,
315,1987,49.0,"0.057,260.37,","34.76,","62.70,",48.73,,,,,,,,,,,,,,,,
316,1987,50.0,"0.051,258.66,","34.27,","60.81,",47.54,,,,,,,,,,,,,,,,
317,1987,51.0,"0.048,257.24,","36.76,","60.19,",48.48,,,,,,,,,,,,,,,,
318,1987,52.0,"0.046,255.22,","41.74,","64.44,",53.09,,,,,,,,,,,,,,,,
319,1988,1.0,"0.045,253.57,","46.28,","68.65,",57.46,,,,,,,,,,,,,,,,
320,1988,2.0,"0.043,253.18,","46.51,","68.87,",57.69,,,,,,,,,,,,,,,,
321,1988,3.0,"0.042,254.18,","44.62,","66.11,",55.37,,,,,,,,,,,,,,,,
322,1988,4.0,"0.040,255.45,","41.06,","62.97,",52.01,,,,,,,,,,,,,,,,
323,1988,5.0,"0.039,255.62,","38.42,","64.90,",51.66,,,,,,,,,,,,,,,,
324,1988,6.0,"0.040,256.50,","35.47,","63.01,",49.24,,,,,,,,,,,,,,,,
325,1988,7.0,"0.041,257.29,","30.07,","61.90,",45.99,,,,,,,,,,,,,,,,
326,1988,8.0,"0.043,257.40,","27.04,","65.87,",46.46,,,,,,,,,,,,,,,,
327,1988,9.0,"0.045,257.83,","25.36,","69.69,",47.52,,,,,,,,,,,,,,,,
328,1988,10.0,"0.046,258.99,","21.51,","74.18,",47.85,,,,,,,,,,,,,,,,
329,1988,11.0,"0.054,261.77,","21.81,","75.64,",48.72,,,,,,,,,,,,,,,,
330,1988,12.0,"0.059,265.01,","20.54,","78.90,",49.72,,,,,,,,,,,,,,,,
331,1988,13.0,"0.068,269.39,","20.11,","79.01,",49.56,,,,,,,,,,,,,,,,
332,1988,14.0,"0.090,274.11,","24.13,","75.83,",49.98,,,,,,,,,,,,,,,,
333,1988,15.0,"0.121,278.34,","28.51,","74.73,",51.62,,,,,,,,,,,,,,,,
334,1988,16.0,"0.154,282.18,","31.50,","73.20,",52.35,,,,,,,,,,,,,,,,
335,1988,17.0,"0.184,284.72,","31.17,","79.61,",55.39,,,,,,,,,,,,,,,,
336,1988,18.0,"0.218,287.01,","31.80,","84.65,",58.22,,,,,,,,,,,,,,,,
337,1988,19.0,"0.257,289.19,","31.44,","86.99,",59.22,,,,,,,,,,,,,,,,
338,1988,20.0,"0.297,291.12,","31.60,","87.38,",59.49,,,,,,,,,,,,,,,,
339,1988,21.0,"0.329,292.18,","32.09,","88.88,",60.49,,,,,,,,,,,,,,,,
340,1988,22.0,"0.359,293.03,","33.85,","86.66,",60.25,,,,,,,,,,,,,,,,
341,1988,23.0,"0.384,293.60,","37.33,","85.29,",61.31,,,,,,,,,,,,,,,,
342,1988,24.0,"0.409,294.42,","43.99,","81.14,",62.56,,,,,,,,,,,,,,,,
343,1988,25.0,"0.413,294.61,","44.65,","81.02,",62.83,,,,,,,,,,,,,,,,
344,1988,26.0,"0.412,295.13,","44.83,","77.11,",60.97,,,,,,,,,,,,,,,,
345,1988,27.0,"0.415,296.05,","48.30,","68.16,",58.23,,,,,,,,,,,,,,,,
346,1988,28.0,"0.416,296.66,","51.89,","62.64,",57.27,,,,,,,,,,,,,,,,
347,1988,29.0,"0.413,297.01,","53.73,","62.21,",57.97,,,,,,,,,,,,,,,,
348,1988,30.0,"0.402,297.04,","53.31,","65.91,",59.61,,,,,,,,,,,,,,,,
349,1988,31.0,"0.389,296.90,","51.69,","69.21,",60.45,,,,,,,,,,,,,,,,
350,1988,32.0,"0.373,296.81,","49.28,","68.52,",58.9,,,,,,,,,,,,,,,,
351,1988,33.0,"0.352,296.60,","46.06,","66.65,",56.36,,,,,,,,,,,,,,,,
352,1988,34.0,"0.323,295.66,","39.91,","67.99,",53.95,,,,,,,,,,,,,,,,
353,1988,35.0,"0.293,294.39,","34.25,","69.45,",51.85,,,,,,,,,,,,,,,,
354,1988,36.0,"0.270,292.98,","31.82,","68.44,",50.13,,,,,,,,,,,,,,,,
355,1988,37.0,"0.253,291.52,","32.84,","65.69,",49.26,,,,,,,,,,,,,,,,
356,1988,38.0,"0.240,289.94,","35.80,","66.14,",50.97,,,,,,,,,,,,,,,,
357,1988,39.0,"0.231,288.40,","41.56,","61.67,",51.62,,,,,,,,,,,,,,,,
358,1988,40.0,"0.228,286.89,","50.54,","52.10,",51.32,,,,,,,,,,,,,,,,
359,1988,41.0,"0.211,284.11,","53.57,","55.13,",54.35,,,,,,,,,,,,,,,,
360,1988,42.0,"0.202,281.81,","61.37,","51.63,",56.5,,,,,,,,,,,,,,,,
361,1988,43.0,"0.188,278.79,","67.62,","53.46,",60.54,,,,,,,,,,,,,,,,
362,1988,44.0,"0.169,275.65,","69.24,","50.07,",59.66,,,,,,,,,,,,,,,,
363,1988,45.0,"0.146,272.83,","65.93,","46.77,",56.35,,,,,,,,,,,,,,,,
364,1988,46.0,"0.115,270.15,","56.98,","45.45,",51.22,,,,,,,,,,,,,,,,
365,1988,47.0,"0.091,267.55,","48.85,","44.46,",46.66,,,,,,,,,,,,,,,,
366,1988,48.0,"0.071,264.88,","41.24,","47.79,",44.51,,,,,,,,,,,,,,,,
367,1988,49.0,"0.058,262.69,","34.97,","50.88,",42.93,,,,,,,,,,,,,,,,
368,1988,50.0,"0.049,261.24,","31.00,","48.57,",39.79,,,,,,,,,,,,,,,,
369,1988,51.0,"0.044,260.55,","32.07,","45.23,",38.65,,,,,,,,,,,,,,,,
370,1988,52.0,"0.037,260.71,","29.75,","40.54,",35.15,,,,,,,,,,,,,,,,
371,1989,1.0,"0.034,261.21,","31.45,","35.95,",33.7,,,,,,,,,,,,,,,,
372,1989,2.0,"0.033,262.90,","32.78,","27.92,",30.35,,,,,,,,,,,,,,,,
373,1989,3.0,"0.033,264.64,","33.13,","22.70,",27.92,,,,,,,,,,,,,,,,
374,1989,4.0,"0.036,266.50,","35.84,","18.88,",27.36,,,,,,,,,,,,,,,,
375,1989,5.0,"0.041,268.58,","39.73,","15.93,",27.83,,,,,,,,,,,,,,,,
376,1989,6.0,"0.047,270.37,","41.42,","14.15,",27.79,,,,,,,,,,,,,,,,
377,1989,7.0,"0.053,271.99,","40.15,","13.24,",26.7,,,,,,,,,,,,,,,,
378,1989,8.0,"0.062,273.90,","40.48,","12.28,",26.38,,,,,,,,,,,,,,,,
379,1989,9.0,"0.075,276.13,","44.00,","11.39,",27.69,,,,,,,,,,,,,,,,
380,1989,10.0,"0.094,278.52,","49.09,","10.93,",30.01,,,,,,,,,,,,,,,,
381,1989,11.0,"0.116,280.74,","54.63,","10.48,",32.55,,,,,,,,,,,,,,,,
382,1989,12.0,"0.138,282.79,","59.39,","12.56,",35.98,,,,,,,,,,,,,,,,
383,1989,13.0,"0.165,284.97,","65.89,","14.27,",40.08,,,,,,,,,,,,,,,,
384,1989,14.0,"0.194,287.14,","71.66,","14.89,",43.27,,,,,,,,,,,,,,,,
385,1989,15.0,"0.226,289.29,","73.85,","15.41,",44.63,,,,,,,,,,,,,,,,
386,1989,16.0,"0.259,290.71,","74.72,","19.57,",47.14,,,,,,,,,,,,,,,,
387,1989,17.0,"0.295,292.04,","75.25,","26.51,",50.88,,,,,,,,,,,,,,,,
388,1989,18.0,"0.333,293.37,","76.58,","34.37,",55.47,,,,,,,,,,,,,,,,
389,1989,19.0,"0.369,294.30,","76.85,","43.44,",60.14,,,,,,,,,,,,,,,,
390,1989,20.0,"0.401,294.95,","76.75,","51.98,",64.36,,,,,,,,,,,,,,,,
391,1989,21.0,"0.420,295.86,","75.01,","53.17,",64.09,,,,,,,,,,,,,,,,
392,1989,22.0,"0.422,296.37,","67.04,","53.47,",60.26,,,,,,,,,,,,,,,,
393,1989,23.0,"0.415,296.42,","54.23,","57.20,",55.72,,,,,,,,,,,,,,,,
394,1989,24.0,"0.403,296.62,","40.09,","58.17,",49.13,,,,,,,,,,,,,,,,
395,1989,25.0,"0.390,296.73,","29.74,","59.00,",44.37,,,,,,,,,,,,,,,,
396,1989,26.0,"0.381,297.13,","26.06,","55.85,",40.95,,,,,,,,,,,,,,,,
397,1989,27.0,"0.374,297.69,","25.04,","50.18,",37.61,,,,,,,,,,,,,,,,
398,1989,28.0,"0.360,298.18,","21.51,","45.71,",33.61,,,,,,,,,,,,,,,,
399,1989,29.0,"0.342,298.54,","17.60,","44.97,",31.28,,,,,,,,,,,,,,,,
400,1989,30.0,"0.320,298.58,","13.41,","48.90,",31.16,,,,,,,,,,,,,,,,
401,1989,31.0,"0.305,299.02,","11.62,","46.57,",29.09,,,,,,,,,,,,,,,,
402,1989,32.0,"0.293,299.67,","10.44,","38.32,",24.38,,,,,,,,,,,,,,,,
403,1989,33.0,"0.273,299.03,","7.52,","41.02,",24.27,,,,,,,,,,,,,,,,
404,1989,34.0,"0.254,298.00,","6.67,","42.46,",24.57,,,,,,,,,,,,,,,,
405,1989,35.0,"0.237,296.77,","6.99,","42.19,",24.59,,,,,,,,,,,,,,,,
406,1989,36.0,"0.225,294.86,","9.54,","46.20,",27.87,,,,,,,,,,,,,,,,
407,1989,37.0,"0.212,293.00,","12.25,","46.85,",29.55,,,,,,,,,,,,,,,,
408,1989,38.0,"0.199,290.54,","15.16,","57.51,",36.33,,,,,,,,,,,,,,,,
409,1989,39.0,"0.195,288.43,","23.44,","60.40,",41.92,,,,,,,,,,,,,,,,
410,1989,40.0,"0.195,286.78,","33.50,","52.67,",43.08,,,,,,,,,,,,,,,,
411,1989,41.0,"0.190,285.05,","42.56,","42.91,",42.73,,,,,,,,,,,,,,,,
412,1989,42.0,"0.184,283.23,","52.37,","35.10,",43.74,,,,,,,,,,,,,,,,
413,1989,43.0,"0.180,281.08,","64.78,","31.99,",48.39,,,,,,,,,,,,,,,,
414,1989,44.0,"0.178,279.46,","76.97,","19.38,",48.17,,,,,,,,,,,,,,,,
415,1989,45.0,"0.165,277.73,","80.64,","12.59,",46.61,,,,,,,,,,,,,,,,
416,1989,46.0,"0.138,274.55,","75.97,","18.92,",47.45,,,,,,,,,,,,,,,,
417,1989,47.0,"0.110,271.02,","67.01,","25.47,",46.24,,,,,,,,,,,,,,,,
418,1989,48.0,"0.088,268.64,","58.76,","28.46,",43.61,,,,,,,,,,,,,,,,
419,1989,49.0,"0.076,267.16,","54.62,","29.47,",42.04,,,,,,,,,,,,,,,,
420,1989,50.0,"0.065,265.46,","49.65,","28.69,",39.17,,,,,,,,,,,,,,,,
421,1989,51.0,"0.058,264.80,","48.66,","25.48,",37.07,,,,,,,,,,,,,,,,
422,1989,52.0,"0.057,265.05,","55.47,","20.84,",38.15,,,,,,,,,,,,,,,,
423,1990,1.0,"0.058,265.91,","63.67,","14.92,",39.3,,,,,,,,,,,,,,,,
424,1990,2.0,"0.063,267.14,","69.40,","9.35,",39.38,,,,,,,,,,,,,,,,
425,1990,3.0,"0.068,268.52,","73.56,","6.16,",39.86,,,,,,,,,,,,,,,,
426,1990,4.0,"0.071,270.16,","75.82,","4.01,",39.92,,,,,,,,,,,,,,,,
427,1990,5.0,"0.076,272.07,","76.57,","2.69,",39.63,,,,,,,,,,,,,,,,
428,1990,6.0,"0.085,273.81,","76.98,","2.08,",39.53,,,,,,,,,,,,,,,,
429,1990,7.0,"0.102,275.36,","79.44,","2.28,",40.86,,,,,,,,,,,,,,,,
430,1990,8.0,"0.117,277.00,","78.70,","2.45,",40.57,,,,,,,,,,,,,,,,
431,1990,9.0,"0.135,278.91,","81.00,","2.67,",41.83,,,,,,,,,,,,,,,,
432,1990,10.0,"0.161,281.18,","86.56,","2.27,",44.42,,,,,,,,,,,,,,,,
433,1990,11.0,"0.183,282.69,","89.25,","3.66,",46.45,,,,,,,,,,,,,,,,
434,1990,12.0,"0.204,285.07,","91.17,","3.68,",47.43,,,,,,,,,,,,,,,,
435,1990,13.0,"0.218,286.80,","90.63,","6.14,",48.39,,,,,,,,,,,,,,,,
436,1990,14.0,"0.231,287.91,","88.51,","11.01,",49.76,,,,,,,,,,,,,,,,
437,1990,15.0,"0.250,288.67,","84.72,","18.75,",51.73,,,,,,,,,,,,,,,,
438,1990,16.0,"0.273,289.23,","80.91,","29.01,",54.96,,,,,,,,,,,,,,,,
439,1990,17.0,"0.305,290.07,","80.08,","41.84,",60.96,,,,,,,,,,,,,,,,
440,1990,18.0,"0.349,291.37,","83.48,","52.39,",67.93,,,,,,,,,,,,,,,,
441,1990,19.0,"0.383,292.45,","83.18,","62.06,",72.62,,,,,,,,,,,,,,,,
442,1990,20.0,"0.405,293.16,","78.91,","71.21,",75.06,,,,,,,,,,,,,,,,
443,1990,21.0,"0.412,293.36,","71.66,","80.73,",76.19,,,,,,,,,,,,,,,,
444,1990,22.0,"0.416,293.53,","64.40,","83.96,",74.18,,,,,,,,,,,,,,,,
445,1990,23.0,"0.425,294.13,","61.06,","81.48,",71.27,,,,,,,,,,,,,,,,
446,1990,24.0,"0.429,294.72,","57.51,","78.48,",68.0,,,,,,,,,,,,,,,,
447,1990,25.0,"0.430,295.68,","56.59,","70.52,",63.55,,,,,,,,,,,,,,,,
448,1990,26.0,"0.425,296.30,","53.43,","64.89,",59.16,,,,,,,,,,,,,,,,
449,1990,27.0,"0.415,296.54,","48.90,","62.53,",55.71,,,,,,,,,,,,,,,,
450,1990,28.0,"0.402,296.62,","44.37,","62.50,",53.44,,,,,,,,,,,,,,,,
451,1990,29.0,"0.383,296.47,","38.52,","67.45,",52.99,,,,,,,,,,,,,,,,
452,1990,30.0,"0.363,296.31,","33.91,","72.99,",53.45,,,,,,,,,,,,,,,,
453,1990,31.0,"0.348,296.16,","31.80,","76.27,",54.03,,,,,,,,,,,,,,,,
454,1990,32.0,"0.337,295.94,","31.46,","77.08,",54.27,,,,,,,,,,,,,,,,
455,1990,33.0,"0.325,295.47,","33.00,","78.28,",55.64,,,,,,,,,,,,,,,,
456,1990,34.0,"0.313,294.58,","35.36,","79.53,",57.45,,,,,,,,,,,,,,,,
457,1990,35.0,"0.298,293.33,","36.86,","81.09,",58.98,,,,,,,,,,,,,,,,
458,1990,36.0,"0.279,291.70,","36.49,","82.92,",59.71,,,,,,,,,,,,,,,,
459,1990,37.0,"0.261,290.16,","37.16,","81.98,",59.57,,,,,,,,,,,,,,,,
460,1990,38.0,"0.248,289.01,","40.46,","77.48,",58.97,,,,,,,,,,,,,,,,
461,1990,39.0,"0.237,287.59,","45.34,","71.40,",58.37,,,,,,,,,,,,,,,,
462,1990,40.0,"0.221,285.94,","47.87,","63.36,",55.62,,,,,,,,,,,,,,,,
463,1990,41.0,"0.201,284.05,","48.28,","55.45,",51.86,,,,,,,,,,,,,,,,
464,1990,42.0,"0.171,281.63,","44.33,","53.07,",48.7,,,,,,,,,,,,,,,,
465,1990,43.0,"0.133,277.95,","35.34,","60.17,",47.76,,,,,,,,,,,,,,,,
466,1990,44.0,"0.103,274.71,","28.44,","56.53,",42.49,,,,,,,,,,,,,,,,
467,1990,45.0,"0.083,272.64,","23.72,","47.29,",35.51,,,,,,,,,,,,,,,,
468,1990,46.0,"0.069,270.58,","22.24,","42.28,",32.26,,,,,,,,,,,,,,,,
469,1990,47.0,"0.063,269.15,","25.61,","35.16,",30.39,,,,,,,,,,,,,,,,
470,1990,48.0,"0.057,267.86,","28.26,","31.62,",29.94,,,,,,,,,,,,,,,,
471,1990,49.0,"0.054,266.83,","30.62,","30.43,",30.53,,,,,,,,,,,,,,,,
472,1990,50.0,"0.053,266.03,","34.79,","25.69,",30.24,,,,,,,,,,,,,,,,
473,1990,51.0,"0.053,265.59,","42.43,","21.98,",32.2,,,,,,,,,,,,,,,,
474,1990,52.0,"0.056,265.01,","54.09,","21.41,",37.75,,,,,,,,,,,,,,,,
475,1991,1.0,"0.060,265.04,","66.55,","19.13,",42.84,,,,,,,,,,,,,,,,
476,1991,2.0,"0.064,265.56,","72.05,","16.33,",44.19,,,,,,,,,,,,,,,,
477,1991,3.0,"0.065,264.73,","72.47,","22.10,",47.29,,,,,,,,,,,,,,,,
478,1991,4.0,"0.061,262.48,","65.97,","34.92,",50.44,,,,,,,,,,,,,,,,
479,1991,5.0,"0.052,261.46,","53.31,","42.93,",48.12,,,,,,,,,,,,,,,,
480,1991,6.0,"0.045,261.05,","40.35,","47.11,",43.73,,,,,,,,,,,,,,,,
481,1991,7.0,"0.038,260.02,","28.41,","53.09,",40.75,,,,,,,,,,,,,,,,
482,1991,8.0,"0.038,260.05,","23.82,","57.62,",40.72,,,,,,,,,,,,,,,,
483,1991,9.0,"0.039,260.67,","21.93,","61.15,",41.54,,,,,,,,,,,,,,,,
484,1991,10.0,"0.042,263.57,","19.03,","60.28,",39.65,,,,,,,,,,,,,,,,
485,1991,11.0,"0.047,267.04,","17.89,","58.80,",38.35,,,,,,,,,,,,,,,,
486,1991,12.0,"0.058,271.62,","20.08,","56.12,",38.1,,,,,,,,,,,,,,,,
487,1991,13.0,"0.074,275.90,","22.76,","54.12,",38.44,,,,,,,,,,,,,,,,
488,1991,14.0,"0.091,279.77,","24.34,","50.71,",37.53,,,,,,,,,,,,,,,,
489,1991,15.0,"0.119,283.40,","27.19,","47.69,",37.44,,,,,,,,,,,,,,,,
490,1991,16.0,"0.155,285.60,","31.23,","51.97,",41.6,,,,,,,,,,,,,,,,
491,1991,17.0,"0.195,287.30,","34.81,","62.96,",48.88,,,,,,,,,,,,,,,,
492,1991,18.0,"0.239,289.48,","39.27,","68.74,",54.0,,,,,,,,,,,,,,,,
493,1991,19.0,"0.285,290.85,","42.13,","77.06,",59.59,,,,,,,,,,,,,,,,
494,1991,20.0,"0.331,292.03,","45.75,","82.61,",64.18,,,,,,,,,,,,,,,,
495,1991,21.0,"0.374,293.55,","52.77,","78.56,",65.67,,,,,,,,,,,,,,,,
496,1991,22.0,"0.407,294.91,","58.73,","69.26,",64.0,,,,,,,,,,,,,,,,
497,1991,23.0,"0.430,295.89,","63.52,","62.98,",63.25,,,,,,,,,,,,,,,,
498,1991,24.0,"0.443,296.77,","65.84,","56.93,",61.38,,,,,,,,,,,,,,,,
499,1991,25.0,"0.451,297.84,","69.60,","47.67,",58.64,,,,,,,,,,,,,,,,
500,1991,26.0,"0.447,298.49,","67.19,","41.88,",54.53,,,,,,,,,,,,,,,,
501,1991,27.0,"0.431,298.47,","58.38,","42.16,",50.27,,,,,,,,,,,,,,,,
502,1991,28.0,"0.414,298.39,","52.04,","43.65,",47.85,,,,,,,,,,,,,,,,
503,1991,29.0,"0.401,298.57,","48.97,","44.91,",46.94,,,,,,,,,,,,,,,,
504,1991,30.0,"0.388,298.51,","47.49,","49.72,",48.61,,,,,,,,,,,,,,,,
505,1991,31.0,"0.372,298.06,","44.18,","56.58,",50.38,,,,,,,,,,,,,,,,
506,1991,32.0,"0.353,297.47,","40.16,","61.28,",50.72,,,,,,,,,,,,,,,,
507,1991,33.0,"0.335,296.90,","38.20,","63.37,",50.78,,,,,,,,,,,,,,,,
508,1991,34.0,"0.319,296.34,","38.04,","60.63,",49.34,,,,,,,,,,,,,,,,
509,1991,35.0,"0.304,295.60,","39.63,","55.76,",47.7,,,,,,,,,,,,,,,,
510,1991,36.0,"0.285,294.54,","39.47,","50.33,",44.9,,,,,,,,,,,,,,,,
511,1991,37.0,"0.271,293.64,","42.11,","39.34,",40.73,,,,,,,,,,,,,,,,
512,1991,38.0,"0.258,292.94,","45.68,","27.27,",36.47,,,,,,,,,,,,,,,,
513,1991,39.0,"0.242,291.53,","47.54,","21.54,",34.54,,,,,,,,,,,,,,,,
514,1991,40.0,"0.219,289.28,","46.74,","21.81,",34.28,,,,,,,,,,,,,,,,
515,1991,41.0,"0.192,286.20,","43.97,","28.61,",36.29,,,,,,,,,,,,,,,,
516,1991,42.0,"0.166,282.26,","42.46,","45.54,",44.0,,,,,,,,,,,,,,,,
517,1991,43.0,"0.137,277.61,","39.10,","62.77,",50.93,,,,,,,,,,,,,,,,
518,1991,44.0,"0.106,273.55,","32.01,","64.91,",48.46,,,,,,,,,,,,,,,,
519,1991,45.0,"0.084,270.17,","25.89,","63.54,",44.72,,,,,,,,,,,,,,,,
520,1991,46.0,"0.070,267.92,","24.63,","58.33,",41.48,,,,,,,,,,,,,,,,
521,1991,47.0,"0.062,265.94,","26.49,","53.82,",40.15,,,,,,,,,,,,,,,,
522,1991,48.0,"0.056,263.92,","28.71,","53.39,",41.05,,,,,,,,,,,,,,,,
523,1991,49.0,"0.050,261.94,","27.47,","54.96,",41.22,,,,,,,,,,,,,,,,
524,1991,50.0,"0.050,260.99,","32.29,","50.00,",41.14,,,,,,,,,,,,,,,,
525,1991,51.0,"0.051,261.14,","40.22,","42.56,",41.39,,,,,,,,,,,,,,,,
526,1991,52.0,"0.050,260.79,","45.88,","39.93,",42.9,,,,,,,,,,,,,,,,
527,1992,1.0,"0.050,259.74,","53.15,","41.81,",47.48,,,,,,,,,,,,,,,,
528,1992,2.0,"0.050,258.51,","54.31,","46.19,",50.25,,,,,,,,,,,,,,,,
529,1992,3.0,"0.050,257.65,","54.59,","51.56,",53.07,,,,,,,,,,,,,,,,
530,1992,4.0,"0.050,257.47,","52.89,","54.87,",53.88,,,,,,,,,,,,,,,,
531,1992,5.0,"0.047,257.77,","47.37,","56.83,",52.1,,,,,,,,,,,,,,,,
532,1992,6.0,"0.047,259.46,","42.06,","52.75,",47.4,,,,,,,,,,,,,,,,
533,1992,7.0,"0.049,262.46,","36.88,","45.09,",40.99,,,,,,,,,,,,,,,,
534,1992,8.0,"0.053,265.94,","34.26,","38.43,",36.34,,,,,,,,,,,,,,,,
535,1992,9.0,"0.058,269.11,","33.25,","34.12,",33.69,,,,,,,,,,,,,,,,
536,1992,10.0,"0.064,272.76,","31.65,","30.09,",30.87,,,,,,,,,,,,,,,,
537,1992,11.0,"0.076,276.53,","33.21,","25.55,",29.38,,,,,,,,,,,,,,,,
538,1992,12.0,"0.091,280.19,","35.82,","22.95,",29.38,,,,,,,,,,,,,,,,
539,1992,13.0,"0.107,283.01,","38.35,","23.02,",30.69,,,,,,,,,,,,,,,,
540,1992,14.0,"0.129,285.39,","41.73,","23.48,",32.61,,,,,,,,,,,,,,,,
541,1992,15.0,"0.157,287.51,","43.73,","25.43,",34.58,,,,,,,,,,,,,,,,
542,1992,16.0,"0.191,289.48,","46.55,","27.43,",36.99,,,,,,,,,,,,,,,,
543,1992,17.0,"0.232,291.50,","50.71,","30.57,",40.64,,,,,,,,,,,,,,,,
544,1992,18.0,"0.274,293.26,","54.06,","35.21,",44.63,,,,,,,,,,,,,,,,
545,1992,19.0,"0.308,294.59,","52.27,","40.58,",46.42,,,,,,,,,,,,,,,,
546,1992,20.0,"0.333,295.29,","47.41,","48.26,",47.83,,,,,,,,,,,,,,,,
547,1992,21.0,"0.355,295.77,","44.29,","53.99,",49.14,,,,,,,,,,,,,,,,
548,1992,22.0,"0.367,295.82,","37.59,","59.35,",48.47,,,,,,,,,,,,,,,,
549,1992,23.0,"0.378,296.01,","33.02,","61.66,",47.34,,,,,,,,,,,,,,,,
550,1992,24.0,"0.388,296.53,","31.41,","59.16,",45.29,,,,,,,,,,,,,,,,
551,1992,25.0,"0.396,297.30,","34.09,","53.16,",43.63,,,,,,,,,,,,,,,,
552,1992,26.0,"0.396,298.07,","35.37,","46.04,",40.7,,,,,,,,,,,,,,,,
553,1992,27.0,"0.390,298.69,","34.75,","39.37,",37.06,,,,,,,,,,,,,,,,
554,1992,28.0,"0.379,299.52,","32.36,","31.00,",31.68,,,,,,,,,,,,,,,,
555,1992,29.0,"0.368,300.53,","31.01,","23.22,",27.12,,,,,,,,,,,,,,,,
556,1992,30.0,"0.353,301.33,","29.87,","19.60,",24.73,,,,,,,,,,,,,,,,
557,1992,31.0,"0.335,301.82,","25.80,","17.47,",21.63,,,,,,,,,,,,,,,,
558,1992,32.0,"0.319,301.96,","22.72,","14.93,",18.82,,,,,,,,,,,,,,,,
559,1992,33.0,"0.303,302.02,","21.90,","10.27,",16.09,,,,,,,,,,,,,,,,
560,1992,34.0,"0.282,300.88,","19.75,","11.60,",15.68,,,,,,,,,,,,,,,,
