,Mean,data,for,UKR,Province=,9:,"Kherson,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
279,1987,13.0,"0.040,271.43,","0.34,","96.32,",48.33,,,,,,,,,,,,,,,,
280,1987,14.0,"0.050,274.60,","0.37,","97.00,",48.69,,,,,,,,,,,,,,,,
281,1987,15.0,"0.064,278.95,","0.78,","95.76,",48.27,,,,,,,,,,,,,,,,
282,1987,16.0,"0.086,283.32,","1.16,","95.30,",48.23,,,,,,,,,,,,,,,,
283,1987,17.0,"0.113,287.76,","1.62,","93.90,",47.76,,,,,,,,,,,,,,,,
284,1987,18.0,"0.144,290.22,","2.28,","93.78,",48.03,,,,,,,,,,,,,,,,
285,1987,19.0,"0.180,292.82,","3.93,","91.34,",47.63,,,,,,,,,,,,,,,,
286,1987,20.0,"0.210,294.97,","6.24,","83.62,",44.93,,,,,,,,,,,,,,,,
287,1987,21.0,"0.231,295.51,","8.98,","85.27,",47.12,,,,,,,,,,,,,,,,
288,1987,22.0,"0.250,296.56,","14.66,","81.50,",48.08,,,,,,,,,,,,,,,,
289,1987,23.0,"0.266,297.38,","23.75,","78.15,",50.95,,,,,,,,,,,,,,,,
290,1987,24.0,"0.282,298.30,","35.47,","75.69,",55.58,,,,,,,,,,,,,,,,
291,1987,25.0,"0.299,299.41,","47.42,","73.22,",60.32,,,,,,,,,,,,,,,,
292,1987,26.0,"0.310,300.44,","56.09,","69.24,",62.67,,,,,,,,,,,,,,,,
293,1987,27.0,"0.311,301.22,","58.58,","65.55,",62.07,,,,,,,,,,,,,,,,
294,1987,28.0,"0.309,301.80,","59.49,","61.21,",60.35,,,,,,,,,,,,,,,,
295,1987,29.0,"0.303,302.37,","59.74,","57.15,",58.45,,,,,,,,,,,,,,,,
296,1987,30.0,"0.293,302.70,","58.90,","53.61,",56.25,,,,,,,,,,,,,,,,
297,1987,31.0,"0.278,302.17,","56.73,","56.08,",56.41,,,,,,,,,,,,,,,,
298,1987,32.0,"0.267,301.60,","56.31,","57.88,",57.09,,,,,,,,,,,,,,,,
299,1987,33.0,"0.254,300.75,","53.24,","61.90,",57.57,,,,,,,,,,,,,,,,
300,1987,34.0,"0.238,299.79,","48.16,","65.98,",57.07,,,,,,,,,,,,,,,,
301,1987,35.0,"0.222,298.74,","42.95,","67.21,",55.08,,,,,,,,,,,,,,,,
302,1987,36.0,"0.206,297.17,","37.96,","66.51,",52.23,,,,,,,,,,,,,,,,
303,1987,37.0,"0.191,295.30,","34.21,","68.40,",51.3,,,,,,,,,,,,,,,,
304,1987,38.0,"0.174,293.29,","30.49,","73.44,",51.96,,,,,,,,,,,,,,,,
305,1987,39.0,"0.158,291.29,","27.38,","75.58,",51.48,,,,,,,,,,,,,,,,
306,1987,40.0,"0.140,288.86,","23.34,","76.32,",49.83,,,,,,,,,,,,,,,,
307,1987,41.0,"0.124,285.45,","20.65,","81.40,",51.03,,,,,,,,,,,,,,,,
308,1987,42.0,"0.107,281.71,","17.66,","85.17,",51.41,,,,,,,,,,,,,,,,
309,1987,43.0,"0.088,277.91,","13.64,","86.53,",50.08,,,,,,,,,,,,,,,,
310,1987,44.0,"0.072,273.11,","10.38,","89.02,",49.7,,,,,,,,,,,,,,,,
311,1987,45.0,"0.060,269.43,","8.22,","89.41,",48.82,,,,,,,,,,,,,,,,
312,1987,46.0,"0.051,266.68,","6.60,","87.25,",46.92,,,,,,,,,,,,,,,,
313,1987,47.0,"0.047,265.59,","7.06,","81.65,",44.35,,,,,,,,,,,,,,,,
314,1987,48.0,"0.045,264.93,","8.24,","73.42,",40.83,,,,,,,,,,,,,,,,
315,1987,49.0,"0.046,264.74,","10.91,","63.87,",37.39,,,,,,,,,,,,,,,,
316,1987,50.0,"0.046,264.68,","13.13,","55.45,",34.29,,,,,,,,,,,,,,,,
317,1987,51.0,"0.043,264.67,","13.96,","48.28,",31.12,,,,,,,,,,,,,,,,
318,1987,52.0,"0.042,264.81,","14.89,","43.52,",29.2,,,,,,,,,,,,,,,,
319,1988,1.0,"0.042,265.00,","16.59,","41.47,",29.03,,,,,,,,,,,,,,,,
320,1988,2.0,"0.042,264.80,","18.24,","40.78,",29.51,,,,,,,,,,,,,,,,
321,1988,3.0,"0.043,265.38,","20.36,","38.69,",29.53,,,,,,,,,,,,,,,,
322,1988,4.0,"0.046,266.17,","22.38,","37.90,",30.14,,,,,,,,,,,,,,,,
323,1988,5.0,"0.050,267.08,","24.69,","37.26,",30.97,,,,,,,,,,,,,,,,
324,1988,6.0,"0.052,268.34,","24.25,","38.50,",31.38,,,,,,,,,,,,,,,,
325,1988,7.0,"0.052,269.82,","22.04,","40.37,",31.21,,,,,,,,,,,,,,,,
326,1988,8.0,"0.058,271.75,","22.93,","40.65,",31.79,,,,,,,,,,,,,,,,
327,1988,9.0,"0.066,273.40,","23.65,","43.14,",33.39,,,,,,,,,,,,,,,,
328,1988,10.0,"0.072,275.06,","22.82,","45.49,",34.15,,,,,,,,,,,,,,,,
329,1988,11.0,"0.084,277.14,","25.08,","44.94,",35.01,,,,,,,,,,,,,,,,
330,1988,12.0,"0.100,279.58,","28.09,","44.59,",36.34,,,,,,,,,,,,,,,,
331,1988,13.0,"0.120,282.56,","31.99,","43.45,",37.72,,,,,,,,,,,,,,,,
332,1988,14.0,"0.151,285.47,","38.44,","43.55,",40.99,,,,,,,,,,,,,,,,
333,1988,15.0,"0.189,287.68,","46.35,","47.94,",47.15,,,,,,,,,,,,,,,,
334,1988,16.0,"0.226,289.93,","51.56,","52.95,",52.26,,,,,,,,,,,,,,,,
335,1988,17.0,"0.252,291.21,","52.14,","67.06,",59.6,,,,,,,,,,,,,,,,
336,1988,18.0,"0.271,292.17,","50.79,","76.48,",63.63,,,,,,,,,,,,,,,,
337,1988,19.0,"0.284,292.55,","46.66,","88.90,",67.78,,,,,,,,,,,,,,,,
338,1988,20.0,"0.299,293.80,","45.84,","89.42,",67.63,,,,,,,,,,,,,,,,
339,1988,21.0,"0.309,295.31,","46.78,","84.88,",65.83,,,,,,,,,,,,,,,,
340,1988,22.0,"0.313,296.34,","47.32,","82.24,",64.78,,,,,,,,,,,,,,,,
341,1988,23.0,"0.312,297.00,","48.30,","80.76,",64.53,,,,,,,,,,,,,,,,
342,1988,24.0,"0.308,297.67,","49.35,","80.27,",64.81,,,,,,,,,,,,,,,,
343,1988,25.0,"0.296,298.13,","45.71,","82.56,",64.13,,,,,,,,,,,,,,,,
344,1988,26.0,"0.281,298.50,","41.31,","83.47,",62.39,,,,,,,,,,,,,,,,
345,1988,27.0,"0.273,298.96,","39.82,","82.31,",61.07,,,,,,,,,,,,,,,,
346,1988,28.0,"0.269,299.70,","41.32,","77.41,",59.36,,,,,,,,,,,,,,,,
347,1988,29.0,"0.265,300.45,","42.62,","72.30,",57.46,,,,,,,,,,,,,,,,
348,1988,30.0,"0.259,300.84,","43.51,","68.11,",55.81,,,,,,,,,,,,,,,,
349,1988,31.0,"0.250,300.92,","43.82,","65.66,",54.74,,,,,,,,,,,,,,,,
350,1988,32.0,"0.236,300.86,","41.90,","63.56,",52.73,,,,,,,,,,,,,,,,
351,1988,33.0,"0.226,300.78,","39.97,","61.55,",50.76,,,,,,,,,,,,,,,,
352,1988,34.0,"0.210,299.67,","34.86,","66.82,",50.84,,,,,,,,,,,,,,,,
353,1988,35.0,"0.192,297.95,","28.64,","73.45,",51.05,,,,,,,,,,,,,,,,
354,1988,36.0,"0.180,296.31,","25.67,","73.26,",49.47,,,,,,,,,,,,,,,,
355,1988,37.0,"0.171,294.84,","24.59,","71.77,",48.18,,,,,,,,,,,,,,,,
356,1988,38.0,"0.170,293.49,","29.15,","70.69,",49.92,,,,,,,,,,,,,,,,
357,1988,39.0,"0.178,292.03,","38.58,","67.99,",53.29,,,,,,,,,,,,,,,,
358,1988,40.0,"0.188,290.39,","48.55,","61.58,",55.07,,,,,,,,,,,,,,,,
359,1988,41.0,"0.186,287.45,","51.78,","64.04,",57.91,,,,,,,,,,,,,,,,
360,1988,42.0,"0.183,284.12,","54.17,","66.73,",60.45,,,,,,,,,,,,,,,,
361,1988,43.0,"0.175,280.70,","54.47,","68.92,",61.7,,,,,,,,,,,,,,,,
362,1988,44.0,"0.159,277.82,","50.74,","62.36,",56.55,,,,,,,,,,,,,,,,
363,1988,45.0,"0.136,275.28,","44.09,","58.85,",51.47,,,,,,,,,,,,,,,,
364,1988,46.0,"0.119,273.30,","39.88,","55.48,",47.68,,,,,,,,,,,,,,,,
365,1988,47.0,"0.104,271.74,","35.86,","52.91,",44.38,,,,,,,,,,,,,,,,
366,1988,48.0,"0.094,270.79,","34.67,","46.54,",40.6,,,,,,,,,,,,,,,,
367,1988,49.0,"0.088,269.96,","35.72,","40.79,",38.26,,,,,,,,,,,,,,,,
368,1988,50.0,"0.082,269.35,","36.64,","35.49,",36.07,,,,,,,,,,,,,,,,
369,1988,51.0,"0.078,268.88,","37.67,","31.39,",34.53,,,,,,,,,,,,,,,,
370,1988,52.0,"0.080,269.47,","41.24,","25.89,",33.57,,,,,,,,,,,,,,,,
371,1989,1.0,"0.082,270.22,","45.14,","21.85,",33.5,,,,,,,,,,,,,,,,
372,1989,2.0,"0.085,271.10,","48.89,","17.03,",32.96,,,,,,,,,,,,,,,,
373,1989,3.0,"0.085,271.90,","49.62,","15.04,",32.33,,,,,,,,,,,,,,,,
374,1989,4.0,"0.090,273.39,","53.31,","12.44,",32.88,,,,,,,,,,,,,,,,
375,1989,5.0,"0.102,275.12,","59.60,","8.88,",34.24,,,,,,,,,,,,,,,,
376,1989,6.0,"0.113,276.35,","62.89,","9.44,",36.16,,,,,,,,,,,,,,,,
377,1989,7.0,"0.123,277.90,","63.87,","10.73,",37.3,,,,,,,,,,,,,,,,
378,1989,8.0,"0.135,280.23,","63.86,","9.85,",36.86,,,,,,,,,,,,,,,,
379,1989,9.0,"0.151,282.36,","65.40,","9.56,",37.48,,,,,,,,,,,,,,,,
380,1989,10.0,"0.171,284.36,","67.63,","10.49,",39.06,,,,,,,,,,,,,,,,
381,1989,11.0,"0.191,286.06,","70.08,","9.95,",40.01,,,,,,,,,,,,,,,,
382,1989,12.0,"0.213,288.13,","73.53,","9.02,",41.27,,,,,,,,,,,,,,,,
383,1989,13.0,"0.241,290.41,","77.83,","8.90,",43.37,,,,,,,,,,,,,,,,
384,1989,14.0,"0.268,292.04,","80.73,","11.29,",46.01,,,,,,,,,,,,,,,,
385,1989,15.0,"0.295,293.34,","83.21,","15.42,",49.31,,,,,,,,,,,,,,,,
386,1989,16.0,"0.323,294.73,","84.66,","19.58,",52.12,,,,,,,,,,,,,,,,
387,1989,17.0,"0.343,295.76,","83.35,","28.87,",56.11,,,,,,,,,,,,,,,,
388,1989,18.0,"0.356,296.50,","81.26,","38.63,",59.95,,,,,,,,,,,,,,,,
389,1989,19.0,"0.360,296.77,","76.68,","54.56,",65.62,,,,,,,,,,,,,,,,
390,1989,20.0,"0.357,297.32,","70.30,","62.66,",66.48,,,,,,,,,,,,,,,,
391,1989,21.0,"0.346,298.11,","63.09,","63.53,",63.31,,,,,,,,,,,,,,,,
392,1989,22.0,"0.328,298.64,","53.60,","65.06,",59.33,,,,,,,,,,,,,,,,
393,1989,23.0,"0.304,298.89,","42.96,","66.72,",54.84,,,,,,,,,,,,,,,,
394,1989,24.0,"0.282,299.49,","34.97,","66.43,",50.7,,,,,,,,,,,,,,,,
395,1989,25.0,"0.267,300.29,","30.25,","65.93,",48.09,,,,,,,,,,,,,,,,
396,1989,26.0,"0.258,301.23,","28.88,","62.49,",45.69,,,,,,,,,,,,,,,,
397,1989,27.0,"0.250,301.93,","28.40,","59.46,",43.93,,,,,,,,,,,,,,,,
398,1989,28.0,"0.242,302.58,","28.96,","54.47,",41.72,,,,,,,,,,,,,,,,
399,1989,29.0,"0.236,303.33,","29.66,","48.55,",39.1,,,,,,,,,,,,,,,,
400,1989,30.0,"0.223,303.63,","27.75,","44.89,",36.32,,,,,,,,,,,,,,,,
401,1989,31.0,"0.212,303.84,","26.86,","41.69,",34.27,,,,,,,,,,,,,,,,
402,1989,32.0,"0.203,303.89,","26.00,","38.33,",32.16,,,,,,,,,,,,,,,,
403,1989,33.0,"0.194,303.24,","24.39,","39.83,",32.11,,,,,,,,,,,,,,,,
404,1989,34.0,"0.187,302.01,","23.35,","44.56,",33.96,,,,,,,,,,,,,,,,
405,1989,35.0,"0.180,300.18,","22.93,","51.00,",36.97,,,,,,,,,,,,,,,,
406,1989,36.0,"0.179,297.71,","25.59,","57.98,",41.79,,,,,,,,,,,,,,,,
407,1989,37.0,"0.183,295.68,","31.36,","61.07,",46.22,,,,,,,,,,,,,,,,
408,1989,38.0,"0.190,293.74,","40.66,","65.36,",53.01,,,,,,,,,,,,,,,,
409,1989,39.0,"0.199,292.10,","51.84,","64.59,",58.21,,,,,,,,,,,,,,,,
410,1989,40.0,"0.211,290.48,","62.87,","59.02,",60.94,,,,,,,,,,,,,,,,
411,1989,41.0,"0.220,288.82,","70.17,","49.48,",59.83,,,,,,,,,,,,,,,,
412,1989,42.0,"0.225,287.13,","75.55,","38.39,",56.97,,,,,,,,,,,,,,,,
413,1989,43.0,"0.227,285.42,","79.02,","31.39,",55.21,,,,,,,,,,,,,,,,
414,1989,44.0,"0.224,283.71,","80.62,","21.72,",51.17,,,,,,,,,,,,,,,,
415,1989,45.0,"0.216,281.33,","80.87,","22.24,",51.55,,,,,,,,,,,,,,,,
416,1989,46.0,"0.204,278.59,","80.31,","27.44,",53.87,,,,,,,,,,,,,,,,
417,1989,47.0,"0.192,276.03,","79.80,","31.70,",55.75,,,,,,,,,,,,,,,,
418,1989,48.0,"0.174,274.10,","77.81,","31.32,",54.56,,,,,,,,,,,,,,,,
419,1989,49.0,"0.160,273.04,","77.17,","27.53,",52.35,,,,,,,,,,,,,,,,
420,1989,50.0,"0.143,271.74,","74.37,","25.88,",50.12,,,,,,,,,,,,,,,,
421,1989,51.0,"0.125,270.66,","68.54,","24.67,",46.61,,,,,,,,,,,,,,,,
422,1989,52.0,"0.111,270.28,","62.33,","23.00,",42.67,,,,,,,,,,,,,,,,
423,1990,1.0,"0.106,270.65,","61.82,","20.22,",41.02,,,,,,,,,,,,,,,,
424,1990,2.0,"0.105,271.41,","63.17,","15.68,",39.43,,,,,,,,,,,,,,,,
425,1990,3.0,"0.109,272.60,","66.23,","12.23,",39.23,,,,,,,,,,,,,,,,
426,1990,4.0,"0.116,274.31,","70.37,","8.97,",39.67,,,,,,,,,,,,,,,,
427,1990,5.0,"0.126,276.41,","75.09,","4.32,",39.71,,,,,,,,,,,,,,,,
428,1990,6.0,"0.142,278.39,","80.67,","2.30,",41.48,,,,,,,,,,,,,,,,
429,1990,7.0,"0.166,280.38,","87.85,","1.88,",44.86,,,,,,,,,,,,,,,,
430,1990,8.0,"0.190,282.57,","91.77,","1.45,",46.61,,,,,,,,,,,,,,,,
431,1990,9.0,"0.208,284.61,","92.76,","1.28,",47.02,,,,,,,,,,,,,,,,
432,1990,10.0,"0.231,286.88,","93.96,","1.02,",47.49,,,,,,,,,,,,,,,,
433,1990,11.0,"0.250,288.15,","94.42,","1.55,",47.98,,,,,,,,,,,,,,,,
434,1990,12.0,"0.266,289.56,","94.31,","2.88,",48.59,,,,,,,,,,,,,,,,
435,1990,13.0,"0.282,291.12,","93.36,","5.79,",49.58,,,,,,,,,,,,,,,,
436,1990,14.0,"0.294,292.19,","90.47,","11.24,",50.86,,,,,,,,,,,,,,,,
437,1990,15.0,"0.304,292.97,","86.86,","18.53,",52.69,,,,,,,,,,,,,,,,
438,1990,16.0,"0.314,293.52,","82.32,","28.93,",55.62,,,,,,,,,,,,,,,,
439,1990,17.0,"0.327,294.31,","78.57,","41.90,",60.23,,,,,,,,,,,,,,,,
440,1990,18.0,"0.337,295.45,","75.13,","48.22,",61.68,,,,,,,,,,,,,,,,
441,1990,19.0,"0.343,296.57,","70.58,","55.77,",63.17,,,,,,,,,,,,,,,,
442,1990,20.0,"0.344,297.69,","65.59,","58.09,",61.84,,,,,,,,,,,,,,,,
443,1990,21.0,"0.335,298.50,","58.87,","59.24,",59.05,,,,,,,,,,,,,,,,
444,1990,22.0,"0.316,299.06,","48.73,","60.54,",54.64,,,,,,,,,,,,,,,,
445,1990,23.0,"0.296,299.61,","40.60,","59.65,",50.12,,,,,,,,,,,,,,,,
446,1990,24.0,"0.277,299.92,","33.77,","61.90,",47.83,,,,,,,,,,,,,,,,
447,1990,25.0,"0.264,300.67,","29.52,","62.03,",45.78,,,,,,,,,,,,,,,,
448,1990,26.0,"0.253,301.47,","27.04,","59.92,",43.48,,,,,,,,,,,,,,,,
449,1990,27.0,"0.243,301.97,","25.59,","58.71,",42.15,,,,,,,,,,,,,,,,
450,1990,28.0,"0.235,302.39,","25.61,","55.61,",40.61,,,,,,,,,,,,,,,,
451,1990,29.0,"0.229,302.63,","26.43,","53.91,",40.17,,,,,,,,,,,,,,,,
452,1990,30.0,"0.222,302.70,","27.05,","52.39,",39.72,,,,,,,,,,,,,,,,
453,1990,31.0,"0.215,302.68,","27.76,","50.92,",39.34,,,,,,,,,,,,,,,,
454,1990,32.0,"0.212,302.57,","29.87,","49.18,",39.52,,,,,,,,,,,,,,,,
455,1990,33.0,"0.212,302.26,","33.25,","48.81,",41.03,,,,,,,,,,,,,,,,
456,1990,34.0,"0.213,301.45,","36.25,","51.04,",43.64,,,,,,,,,,,,,,,,
457,1990,35.0,"0.212,300.28,","39.00,","52.31,",45.65,,,,,,,,,,,,,,,,
458,1990,36.0,"0.212,298.67,","42.62,","51.35,",46.98,,,,,,,,,,,,,,,,
459,1990,37.0,"0.212,297.11,","47.11,","49.60,",48.36,,,,,,,,,,,,,,,,
460,1990,38.0,"0.211,295.59,","52.72,","48.54,",50.63,,,,,,,,,,,,,,,,
461,1990,39.0,"0.212,294.11,","59.05,","44.68,",51.87,,,,,,,,,,,,,,,,
462,1990,40.0,"0.210,292.55,","63.01,","37.54,",50.28,,,,,,,,,,,,,,,,
463,1990,41.0,"0.205,290.73,","63.96,","29.65,",46.81,,,,,,,,,,,,,,,,
464,1990,42.0,"0.196,288.55,","62.96,","23.89,",43.43,,,,,,,,,,,,,,,,
465,1990,43.0,"0.181,285.57,","59.52,","28.54,",44.03,,,,,,,,,,,,,,,,
466,1990,44.0,"0.166,283.46,","55.77,","21.86,",38.81,,,,,,,,,,,,,,,,
467,1990,45.0,"0.152,281.89,","52.89,","17.27,",35.08,,,,,,,,,,,,,,,,
468,1990,46.0,"0.139,279.97,","50.24,","18.63,",34.43,,,,,,,,,,,,,,,,
469,1990,47.0,"0.130,277.95,","49.81,","20.39,",35.1,,,,,,,,,,,,,,,,
470,1990,48.0,"0.121,275.82,","50.40,","21.78,",36.09,,,,,,,,,,,,,,,,
471,1990,49.0,"0.118,274.11,","53.54,","21.98,",37.76,,,,,,,,,,,,,,,,
472,1990,50.0,"0.110,272.44,","54.51,","22.42,",38.46,,,,,,,,,,,,,,,,
473,1990,51.0,"0.106,271.28,","56.66,","21.96,",39.31,,,,,,,,,,,,,,,,
474,1990,52.0,"0.107,270.66,","59.63,","21.47,",40.55,,,,,,,,,,,,,,,,
475,1991,1.0,"0.112,270.74,","64.91,","19.81,",42.36,,,,,,,,,,,,,,,,
476,1991,2.0,"0.112,270.67,","66.79,","18.44,",42.61,,,,,,,,,,,,,,,,
477,1991,3.0,"0.111,270.55,","66.69,","19.73,",43.21,,,,,,,,,,,,,,,,
478,1991,4.0,"0.104,269.71,","61.71,","25.27,",43.49,,,,,,,,,,,,,,,,
479,1991,5.0,"0.098,270.13,","56.52,","26.45,",41.49,,,,,,,,,,,,,,,,
480,1991,6.0,"0.094,271.01,","50.79,","28.95,",39.87,,,,,,,,,,,,,,,,
481,1991,7.0,"0.090,271.94,","44.32,","33.01,",38.66,,,,,,,,,,,,,,,,
482,1991,8.0,"0.094,273.41,","41.42,","35.29,",38.35,,,,,,,,,,,,,,,,
483,1991,9.0,"0.103,275.49,","42.03,","36.15,",39.09,,,,,,,,,,,,,,,,
484,1991,10.0,"0.118,278.70,","43.68,","32.89,",38.29,,,,,,,,,,,,,,,,
485,1991,11.0,"0.127,281.96,","43.28,","27.27,",35.27,,,,,,,,,,,,,,,,
486,1991,12.0,"0.140,285.67,","44.29,","20.12,",32.2,,,,,,,,,,,,,,,,
487,1991,13.0,"0.158,288.55,","46.44,","17.45,",31.95,,,,,,,,,,,,,,,,
488,1991,14.0,"0.180,290.73,","49.00,","17.87,",33.44,,,,,,,,,,,,,,,,
489,1991,15.0,"0.207,292.29,","52.61,","21.51,",37.06,,,,,,,,,,,,,,,,
490,1991,16.0,"0.245,293.72,","58.60,","26.29,",42.44,,,,,,,,,,,,,,,,
491,1991,17.0,"0.278,294.79,","61.70,","36.59,",49.15,,,,,,,,,,,,,,,,
492,1991,18.0,"0.301,295.80,","62.18,","44.42,",53.3,,,,,,,,,,,,,,,,
493,1991,19.0,"0.315,296.39,","59.42,","57.58,",58.5,,,,,,,,,,,,,,,,
494,1991,20.0,"0.322,296.67,","55.68,","68.10,",61.89,,,,,,,,,,,,,,,,
495,1991,21.0,"0.328,297.22,","55.09,","71.22,",63.15,,,,,,,,,,,,,,,,
496,1991,22.0,"0.329,298.20,","54.73,","68.77,",61.75,,,,,,,,,,,,,,,,
497,1991,23.0,"0.324,299.30,","54.66,","63.34,",59.0,,,,,,,,,,,,,,,,
498,1991,24.0,"0.315,300.12,","53.26,","61.21,",57.24,,,,,,,,,,,,,,,,
499,1991,25.0,"0.308,301.20,","52.39,","58.35,",55.37,,,,,,,,,,,,,,,,
500,1991,26.0,"0.299,302.36,","50.11,","53.24,",51.67,,,,,,,,,,,,,,,,
501,1991,27.0,"0.285,302.99,","45.50,","51.05,",48.27,,,,,,,,,,,,,,,,
502,1991,28.0,"0.272,303.20,","42.42,","50.07,",46.25,,,,,,,,,,,,,,,,
503,1991,29.0,"0.266,303.59,","43.00,","47.21,",45.1,,,,,,,,,,,,,,,,
504,1991,30.0,"0.262,304.00,","45.14,","42.84,",43.99,,,,,,,,,,,,,,,,
505,1991,31.0,"0.251,303.69,","44.36,","43.50,",43.93,,,,,,,,,,,,,,,,
506,1991,32.0,"0.239,302.83,","43.08,","47.36,",45.22,,,,,,,,,,,,,,,,
507,1991,33.0,"0.231,301.96,","42.39,","51.32,",46.85,,,,,,,,,,,,,,,,
508,1991,34.0,"0.226,301.17,","42.90,","53.70,",48.3,,,,,,,,,,,,,,,,
509,1991,35.0,"0.218,300.24,","41.52,","53.20,",47.36,,,,,,,,,,,,,,,,
510,1991,36.0,"0.206,299.16,","38.56,","47.55,",43.05,,,,,,,,,,,,,,,,
511,1991,37.0,"0.194,298.05,","36.51,","41.32,",38.92,,,,,,,,,,,,,,,,
512,1991,38.0,"0.184,297.17,","36.83,","33.07,",34.95,,,,,,,,,,,,,,,,
513,1991,39.0,"0.173,295.98,","36.50,","25.52,",31.01,,,,,,,,,,,,,,,,
514,1991,40.0,"0.160,293.67,","33.85,","26.51,",30.18,,,,,,,,,,,,,,,,
515,1991,41.0,"0.143,290.62,","29.92,","31.42,",30.67,,,,,,,,,,,,,,,,
516,1991,42.0,"0.132,287.49,","29.73,","34.83,",32.28,,,,,,,,,,,,,,,,
517,1991,43.0,"0.121,283.61,","29.60,","45.33,",37.47,,,,,,,,,,,,,,,,
518,1991,44.0,"0.105,279.94,","25.79,","47.18,",36.48,,,,,,,,,,,,,,,,
519,1991,45.0,"0.090,277.05,","22.43,","47.78,",35.11,,,,,,,,,,,,,,,,
520,1991,46.0,"0.078,274.58,","20.27,","48.44,",34.35,,,,,,,,,,,,,,,,
521,1991,47.0,"0.069,271.98,","18.53,","51.43,",34.98,,,,,,,,,,,,,,,,
522,1991,48.0,"0.060,269.23,","16.46,","53.90,",35.18,,,,,,,,,,,,,,,,
523,1991,49.0,"0.052,266.66,","14.71,","55.43,",35.07,,,,,,,,,,,,,,,,
524,1991,50.0,"0.050,265.49,","16.20,","51.95,",34.08,,,,,,,,,,,,,,,,
525,1991,51.0,"0.050,265.58,","18.63,","44.52,",31.57,,,,,,,,,,,,,,,,
526,1991,52.0,"0.050,265.71,","20.30,","39.94,",30.12,,,,,,,,,,,,,,,,
527,1992,1.0,"0.051,265.44,","22.94,","39.57,",31.25,,,,,,,,,,,,,,,,
528,1992,2.0,"0.049,264.76,","24.15,","40.72,",32.44,,,,,,,,,,,,,,,,
529,1992,3.0,"0.050,264.23,","25.56,","42.67,",34.12,,,,,,,,,,,,,,,,
530,1992,4.0,"0.048,263.15,","24.36,","48.23,",36.29,,,,,,,,,,,,,,,,
531,1992,5.0,"0.045,262.20,","21.72,","53.81,",37.76,,,,,,,,,,,,,,,,
532,1992,6.0,"0.044,262.68,","19.71,","58.00,",38.85,,,,,,,,,,,,,,,,
533,1992,7.0,"0.047,264.65,","19.28,","58.72,",39.0,,,,,,,,,,,,,,,,
534,1992,8.0,"0.051,267.71,","19.30,","55.65,",37.47,,,,,,,,,,,,,,,,
535,1992,9.0,"0.058,271.37,","20.03,","51.30,",35.67,,,,,,,,,,,,,,,,
536,1992,10.0,"0.067,275.21,","20.55,","45.92,",33.24,,,,,,,,,,,,,,,,
537,1992,11.0,"0.082,278.99,","23.94,","39.00,",31.47,,,,,,,,,,,,,,,,
538,1992,12.0,"0.102,282.69,","28.62,","32.77,",30.7,,,,,,,,,,,,,,,,
539,1992,13.0,"0.121,285.46,","32.04,","31.34,",31.69,,,,,,,,,,,,,,,,
540,1992,14.0,"0.145,287.92,","35.94,","31.39,",33.67,,,,,,,,,,,,,,,,
541,1992,15.0,"0.169,289.76,","39.19,","34.93,",37.06,,,,,,,,,,,,,,,,
542,1992,16.0,"0.196,291.69,","40.91,","39.07,",39.99,,,,,,,,,,,,,,,,
543,1992,17.0,"0.227,293.59,","42.95,","45.41,",44.18,,,,,,,,,,,,,,,,
544,1992,18.0,"0.258,294.76,","45.51,","52.78,",49.15,,,,,,,,,,,,,,,,
545,1992,19.0,"0.277,295.22,","43.63,","68.18,",55.9,,,,,,,,,,,,,,,,
546,1992,20.0,"0.290,295.66,","41.57,","77.09,",59.33,,,,,,,,,,,,,,,,
547,1992,21.0,"0.297,295.93,","40.70,","81.96,",61.33,,,,,,,,,,,,,,,,
548,1992,22.0,"0.298,295.81,","39.24,","87.96,",63.6,,,,,,,,,,,,,,,,
549,1992,23.0,"0.297,295.78,","40.40,","91.25,",65.83,,,,,,,,,,,,,,,,
550,1992,24.0,"0.298,296.40,","44.41,","91.30,",67.86,,,,,,,,,,,,,,,,
551,1992,25.0,"0.297,297.40,","47.09,","89.29,",68.19,,,,,,,,,,,,,,,,
552,1992,26.0,"0.290,298.34,","46.55,","85.09,",65.82,,,,,,,,,,,,,,,,
553,1992,27.0,"0.281,299.14,","44.85,","80.01,",62.43,,,,,,,,,,,,,,,,
554,1992,28.0,"0.270,300.23,","43.01,","70.65,",56.83,,,,,,,,,,,,,,,,
555,1992,29.0,"0.261,301.32,","41.99,","62.22,",52.11,,,,,,,,,,,,,,,,
556,1992,30.0,"0.254,302.24,","42.33,","53.84,",48.09,,,,,,,,,,,,,,,,
557,1992,31.0,"0.244,302.83,","42.39,","47.78,",45.08,,,,,,,,,,,,,,,,
558,1992,32.0,"0.234,302.90,","41.66,","44.63,",43.14,,,,,,,,,,,,,,,,
559,1992,33.0,"0.225,302.79,","40.59,","42.31,",41.45,,,,,,,,,,,,,,,,
560,1992,34.0,"0.214,302.04,","38.02,","43.42,",40.72,,,,,,,,,,,,,,,,
